capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp optimal_time_infinite_case order_of_submission Gilmore_Gomory_makespan order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction  
2754066428 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 2699.726057890 2631.160850742 2751.846189922 2753.106244133 2727.040767981 2733.654706101 2644.133983181 2631.502470462 2718.416035230 2718.416035230 2689.801085535 2689.801085535 2725.031374698  
2937670856 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 2699.262765156 2631.160850742 2751.846189922 2752.531799604 2716.301246615 2733.654706101 2644.133983181 2631.502470462 2719.522103660 2719.522103660 2685.850479105 2685.850479105 2698.401547205  
3121275284 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 2699.262765156 2631.160850742 2717.514407076 2721.562534005 2705.095986439 2733.473528392 2633.976459967 2631.502470462 2720.955150515 2720.955150515 2673.780798895 2673.780798895 2691.412737102  
3304879712 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 2673.828662127 2631.160850742 2717.514407076 2719.030434808 2698.248662793 2733.358854714 2633.976459967 2631.502470462 2723.215842825 2723.215842825 2631.405855363 2631.405855363 2684.714264942  
3488484140 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 2673.828662127 2631.160850742 2717.514407076 2716.205505881 2691.901428947 2733.358854714 2631.903470841 2631.502470462 2718.850942297 2718.850942297 2686.454632702 2686.454632702 2712.628625420  
1836044288 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 2030.207360657 1987.146140888 2035.693773095 2022.701773185 2008.006183704 2027.774441509 1979.758851326 1980.486780880 2017.072989265 2017.072989265 1970.626035437 1970.626035437 2039.796755079  
2019648716 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 2028.472708907 1969.704839623 2035.693773095 2004.977334594 1994.760280439 2027.722109850 1979.758851326 1970.626035437 1999.631688000 1999.631688000 1942.096741417 1942.096741417 1992.786567236  
2203253144 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 2027.853386127 1969.704839623 2032.752684619 2004.977334594 1994.760280439 2027.722109850 1979.758851326 1970.626035437 1999.631688000 1999.631688000 1921.759187459 1921.759187459 1968.559722766  
2386857572 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 2027.853386127 1969.704839623 2032.752684619 2004.977334594 1977.822015201 2027.722109850 1969.898105883 1969.704828353 1999.631688000 1999.631688000 1910.907192286 1910.907192286 1970.440164783  
2570462000 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 2027.853386127 1969.704839623 2032.752684619 2004.106893539 1977.822015201 2027.722109850 1969.898105883 1969.704828353 1999.631688000 1999.631688000 1910.907149598 1910.907149598 1961.359790903  
2754066428 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 1939.784611942 1921.548303569 1921.563954113 1974.180033892 1933.613999968 1969.704828353 1933.807266228 1969.704828353 1969.704828353 1969.704828353 1910.907152155 1910.907152155 1913.378823720  
2937670856 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 1939.784611942 1921.548303569 1921.563954113 1973.896896566 1933.613999968 1969.704828353 1933.807266228 1969.704828353 1969.704828353 1969.704828353 1910.907152155 1910.907152155 1912.745911317  
3121275284 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 1939.784611942 1921.548303569 1921.548303569 1973.896896566 1933.613999968 1969.704828353 1933.807266228 1969.704828353 1969.704828353 1969.704828353 1910.907149598 1910.907149598 1912.940293759  
3304879712 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 1924.640589620 1921.548303569 1921.548303569 1973.577154024 1933.613999968 1969.704828353 1933.807266228 1969.704828353 1969.704828353 1969.704828353 1910.907149598 1910.907149598 1920.320700118  
3488484140 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 1924.640589620 1910.907149598 1910.907149598 1972.607452829 1924.275053122 1969.704828353 1911.100415858 1969.704828353 1969.704828353 1969.704828353 1910.907149598 1910.907149598 1910.907149598  
1836044288 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3609.687214066 3422.376496868 3651.339643996 3555.700247175 3617.599167695 3610.523813614 3487.354831873 3413.872243506 3535.336936918 3535.336936918 3415.436594067 3415.436594067 3566.482201853  
2019648716 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3549.230857406 3413.122250861 3648.965690645 3540.052353461 3603.545370358 3596.650293156 3455.277102094 3396.936035026 3480.818378574 3480.818378574 3371.963776297 3371.963776297 3556.942085676  
2203253144 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3517.940268134 3413.012746974 3648.965690645 3523.958596978 3603.545370358 3596.650293156 3455.277102094 3393.744744026 3475.951549608 3475.951549608 3352.896093706 3352.896093706 3460.116156469  
2386857572 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3501.234692803 3341.799340823 3635.728119023 3484.030888574 3513.411577322 3519.153225647 3415.995531555 3342.034136510 3485.517475811 3485.517475811 3404.770996031 3404.770996031 3486.384991330  
2570462000 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3462.626675235 3341.799340823 3635.728119023 3482.714998783 3508.117970324 3519.153225647 3415.995531555 3342.034136510 3474.477545726 3474.477545726 3351.491006943 3351.491006943 3437.301927852  
2754066428 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3406.041016808 3284.054439978 3517.516735263 3479.675972440 3468.835718079 3455.014864653 3365.533319479 3342.034136510 3462.287512494 3462.287512494 3342.257113921 3342.257113921 3382.444029935  
2937670856 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3406.041016808 3284.054439978 3517.516735263 3475.578061551 3457.618921312 3455.014864653 3365.533319479 3342.034136510 3464.470257234 3464.470257234 3306.784613569 3306.784613569 3413.144429708  
3121275284 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3391.985868394 3284.054439978 3517.516735263 3470.784410148 3422.730104862 3403.580506329 3365.533319479 3342.034136510 3462.243213762 3462.243213762 3370.660382967 3370.660382967 3369.981732005  
3304879712 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3391.985868394 3284.054439978 3517.516735263 3466.178074401 3416.365743672 3403.580506329 3365.533319479 3342.034136510 3440.386071519 3440.386071519 3316.724150701 3316.724150701 3440.804932255  
3488484140 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3383.597609411 3281.296743383 3455.422638443 3460.970270780 3416.365743672 3384.653693160 3323.535708859 3342.034136510 3425.465319430 3425.465319430 3320.849061338 3320.849061338 3440.315531415  
1836044288 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2526.739652165 2541.719361819 2607.759695851 2577.699145260 2543.701106498 2561.099169457 2564.766575493 2457.687168375 2515.768989555 2515.768989555 2446.873037776 2446.873037776 2541.160854422  
2019648716 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2511.018500230 2541.719361819 2602.048722029 2576.545627986 2536.619446304 2560.864213816 2559.284477512 2429.046678821 2480.666168280 2480.666168280 2360.824292948 2360.824292948 2467.026779162  
2203253144 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2491.671947543 2541.719361819 2602.048722029 2574.079108798 2536.619446304 2560.864213816 2559.284477512 2429.046678821 2477.985590688 2477.985590688 2329.656820230 2329.656820230 2483.076516602  
2386857572 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2469.402810634 2437.332357767 2598.368172076 2530.946801904 2501.860500416 2553.612250525 2519.445347980 2389.107534726 2443.209519310 2443.209519310 2252.291311188 2252.291311188 2443.770820102  
2570462000 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2435.377720973 2437.332357767 2598.368172076 2529.275428166 2501.860500416 2553.612250525 2519.445347980 2389.107534726 2444.444399308 2444.444399308 2248.216050212 2248.216050212 2421.202277874  
2754066428 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2371.140256330 2306.399398236 2447.512184984 2403.619548866 2466.618985635 2406.850079129 2385.019768594 2310.805189480 2370.267682978 2370.267682978 2253.423489297 2253.423489297 2361.590714618  
2937670856 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2349.998648004 2306.399398236 2447.512184984 2400.264074053 2463.056878962 2406.850079129 2385.019768594 2310.805189480 2362.380653481 2362.380653481 2236.199170279 2236.199170279 2331.786769957  
3121275284 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2317.643935072 2306.399398236 2447.512184984 2346.935604303 2463.056878962 2406.794974354 2385.019768594 2298.498846069 2307.157965676 2307.157965676 2249.208020164 2249.208020164 2355.390523475  
3304879712 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2304.405605830 2306.399398236 2447.512184984 2344.844846711 2456.321331007 2406.794974354 2385.019768594 2298.498846069 2306.249087648 2306.249087648 2225.434411568 2225.434411568 2371.974353512  
3488484140 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2292.173869015 2306.399398236 2416.568043735 2310.175063941 2456.321331007 2394.569084724 2357.806722930 2279.780594450 2287.903689687 2287.903689687 2247.932847288 2247.932847288 2311.468001111  
1836044288 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2618.484823180 2575.759895348 2657.512974583 2566.687881558 2620.652844787 2620.959188891 2603.604743981 2501.332982040 2561.741272542 2561.741272542 2511.060502062 2511.060502062 2629.425142597  
2019648716 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2568.715109754 2548.206490751 2657.512974583 2566.416384629 2612.397655778 2620.959188891 2583.071367852 2501.362308544 2562.459314578 2562.459314578 2498.845972925 2498.845972925 2602.057235088  
2203253144 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2565.019887603 2548.206490751 2657.512974583 2566.416384629 2612.397655778 2620.959188891 2583.071367852 2501.362308544 2561.624310462 2561.624310462 2438.646135062 2438.646135062 2610.318968683  
2386857572 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2564.665585971 2493.171286376 2640.546180011 2565.442281740 2600.244826141 2620.796645648 2582.863094322 2501.539195578 2561.209884730 2561.209884730 2513.823748156 2513.823748156 2604.808267249  
2570462000 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2543.599390843 2493.171286376 2640.546180011 2565.442281740 2598.733800068 2620.796645648 2582.863094322 2501.362308544 2560.970712064 2560.970712064 2467.515809963 2467.515809963 2587.936684879  
2754066428 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2518.939880576 2485.904599864 2581.386183950 2565.243807834 2595.923773044 2561.636649587 2512.879278232 2500.947975181 2559.760618551 2559.760618551 2456.643826822 2456.643826822 2579.699297789  
2937670856 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2515.649004044 2441.017315338 2567.379775233 2564.875941227 2584.478104328 2561.636649587 2512.879278232 2500.947975181 2561.273779094 2561.273779094 2445.226144493 2445.226144493 2561.397560298  
