capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
299880 1.133317651 1.038303146 1.038303146 0.095014505	1.038326194 1.120624829 1.120326094 1.113014139 1.120612817 1.112746048 1.112855739 1.101883524 1.096762825 1.096762825 1.092665107 1.092665107 1.093201694
317520 1.133317651 1.038303146 1.038303146 0.095014505	1.038326194 1.106143094 1.108444860 1.100467463 1.108557157 1.100182842 1.100531632 1.086886165 1.080369661 1.080369661 1.076891857 1.076891857 1.076192730
335160 1.133317651 1.038303146 1.038303146 0.095014505	1.038326194 1.060407797 1.065129005 1.061016153 1.065178553 1.059572987 1.059678121 1.046912822 1.040974620 1.040974620 1.042219046 1.042219046 1.040350747
176400 1.151070061 1.045196609 1.045196609 0.105873452	1.045254968 1.144597198 1.144504514 1.147679785 1.144389992 1.146637266 1.146951033 1.143943744 1.143621058 1.143621058 1.144153608 1.144153608 1.143732397
194040 1.151070061 1.045196609 1.045196609 0.105873452	1.045254968 1.144597198 1.144504514 1.147679785 1.144389992 1.146637266 1.146951033 1.143943744 1.143621058 1.143621058 1.144153608 1.144153608 1.143732397
211680 1.151070061 1.045196609 1.045196609 0.105873452	1.045254968 1.144597198 1.144504514 1.147679785 1.144389992 1.146637266 1.146951033 1.143729408 1.143301586 1.143301586 1.144153608 1.144153608 1.143679474
229320 1.151070061 1.045196609 1.045196609 0.105873452	1.045254968 1.144492051 1.144255375 1.146854498 1.144134638 1.145955943 1.146074637 1.139169049 1.138244520 1.138244520 1.142628306 1.142628306 1.137155596
246960 1.151070061 1.045196609 1.045196609 0.105873452	1.045254968 1.142239388 1.142546750 1.136586962 1.142837448 1.137051338 1.138160998 1.128510142 1.124658043 1.124658043 1.133677956 1.133677956 1.122008145
264600 1.151070061 1.045196609 1.045196609 0.105873452	1.045254968 1.139453334 1.142044463 1.130268307 1.140723105 1.131647956 1.131077055 1.126391042 1.121496648 1.121496648 1.117581186 1.117581186 1.119063641
282240 1.151070061 1.045196609 1.045196609 0.105873452	1.045254968 1.139274225 1.141893040 1.130268307 1.140571682 1.131647956 1.131077055 1.125749578 1.120835906 1.120835906 1.116628176 1.116628176 1.117990877
299880 1.151070061 1.045196609 1.045196609 0.105873452	1.045254968 1.137696222 1.138188817 1.129225455 1.136749093 1.130276866 1.129750409 1.118279086 1.112234781 1.112234781 1.107722816 1.107722816 1.108937291
317520 1.151070061 1.045196609 1.045196609 0.105873452	1.045254968 1.121606738 1.125191774 1.115653760 1.123473598 1.116161277 1.115980135 1.104079898 1.093402505 1.093402505 1.092368865 1.092368865 1.092441856
335160 1.151070061 1.045196609 1.045196609 0.105873452	1.045254968 1.074481058 1.077921678 1.075736628 1.075212625 1.074960866 1.074724048 1.058547746 1.052905811 1.052905811 1.053884376 1.053884376 1.051375941
176400 1.079618821 0.975274784 0.975274784 0.104344037	0.975299215 1.073747318 1.073750231 1.076296866 1.073449865 1.075773048 1.074685674 1.072832918 1.072692685 1.072692685 1.073013992 1.073013992 1.072490874
194040 1.079618821 0.975274784 0.975274784 0.104344037	0.975299215 1.073747318 1.073750231 1.076296866 1.073449865 1.075773048 1.074685674 1.072832918 1.072692685 1.072692685 1.073013992 1.073013992 1.072490874
211680 1.079618821 0.975274784 0.975274784 0.104344037	0.975299215 1.073747318 1.073750231 1.076296866 1.073449865 1.075773048 1.074685674 1.072726728 1.072408360 1.072408360 1.073009964 1.073009964 1.072273597
229320 1.079618821 0.975274784 0.975274784 0.104344037	0.975299215 1.073457780 1.073677643 1.075050191 1.073377277 1.074885955 1.073658804 1.068689794 1.068984935 1.068984935 1.071211636 1.071211636 1.066822957
246960 1.079618821 0.975274784 0.975274784 0.104344037	0.975299215 1.070522625 1.072031241 1.068796432 1.072521882 1.067263034 1.066075347 1.057361234 1.052115719 1.052115719 1.062455963 1.062455963 1.051599904
264600 1.079618821 0.975274784 0.975274784 0.104344037	0.975299215 1.068311733 1.070562570 1.060326047 1.069325941 1.058870223 1.058948099 1.054818316 1.049221341 1.049221341 1.046608316 1.046608316 1.046797467
282240 1.079618821 0.975274784 0.975274784 0.104344037	0.975299215 1.068311733 1.070152137 1.060326047 1.069071257 1.058870223 1.058948099 1.054066634 1.048254801 1.048254801 1.045332378 1.045332378 1.045506366
299880 1.079618821 0.975274784 0.975274784 0.104344037	0.975299215 1.067125915 1.067729761 1.059326636 1.066712253 1.058006442 1.057979729 1.048528196 1.042246557 1.042246557 1.040204059 1.040204059 1.038703012
