capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
2754066428 3003.812498029 2220.367390496 2220.367390496 783.445107533	2220.372339309 2371.140256330 2392.488264381 2378.247229689 2396.255768074 2419.467659347 2309.798412698 2271.258531446 2406.513622712 2406.513622712 2280.478511617 2280.478511617 2329.838747740
2937670856 3003.812498029 2220.367390496 2220.367390496 783.445107533	2220.372339309 2349.998648004 2376.092447061 2378.247229689 2371.914143739 2404.967852076 2291.088170316 2271.258531446 2394.304121462 2394.304121462 2249.135940057 2249.135940057 2295.054607032
3121275284 3003.812498029 2220.367390496 2220.367390496 783.445107533	2220.372339309 2317.643935072 2363.677717960 2337.581503518 2371.914143739 2404.197449278 2278.756377401 2271.258531446 2312.094628105 2312.094628105 2259.473656249 2259.473656249 2300.702182306
3304879712 3003.812498029 2220.367390496 2220.367390496 783.445107533	2220.372339309 2304.405605830 2361.341616017 2334.266954435 2357.581253563 2388.214168841 2278.533736260 2271.258531446 2310.245822094 2310.245822094 2228.673744775 2228.673744775 2284.365526012
3488484140 3003.812498029 2220.367390496 2220.367390496 783.445107533	2220.372339309 2292.173869015 2302.367880384 2292.883876277 2337.741965797 2361.890962392 2254.229257450 2220.750026048 2298.229448119 2298.229448119 2243.690345242 2243.690345242 2284.936014131
1836044288 2950.249614211 2438.646084294 2438.646084294 511.603529917	2438.646173457 2618.484823180 2652.429279752 2650.266438730 2615.997821115 2671.429917493 2626.189107247 2556.700433865 2644.238086249 2644.238086249 2584.440118902 2584.440118902 2620.925805580
2019648716 2950.249614211 2438.646084294 2438.646084294 511.603529917	2438.646173457 2568.715109754 2652.091023233 2649.985532621 2598.324727549 2671.140933380 2625.970588012 2503.066169855 2606.290582558 2606.290582558 2517.511478471 2517.511478471 2587.041103382
2203253144 2950.249614211 2438.646084294 2438.646084294 511.603529917	2438.646173457 2565.019887603 2623.937295338 2649.985532621 2581.307840830 2669.683580501 2625.773464913 2488.470380767 2613.724809311 2613.724809311 2478.178971905 2478.178971905 2560.115022768
2386857572 2950.249614211 2438.646084294 2438.646084294 511.603529917	2438.646173457 2564.665585971 2590.771978908 2618.995348741 2560.647361725 2668.962646157 2511.475635908 2478.381826985 2607.828930095 2607.828930095 2549.441158104 2549.441158104 2533.328048392
2570462000 2950.249614211 2438.646084294 2438.646084294 511.603529917	2438.646173457 2543.599390843 2588.631644395 2618.136597994 2560.647361725 2668.828814217 2511.437808975 2456.553382413 2564.409792162 2564.409792162 2510.737084690 2510.737084690 2579.790303830
2754066428 2950.249614211 2438.646084294 2438.646084294 511.603529917	2438.646173457 2518.939880576 2560.674899179 2615.887919251 2539.158793916 2667.284705496 2511.435419702 2439.373356652 2608.918790242 2608.918790242 2469.416264716 2469.416264716 2545.354259755
2937670856 2950.249614211 2438.646084294 2438.646084294 511.603529917	2438.646173457 2515.649004044 2542.434642219 2607.607483772 2535.986306869 2659.004270017 2511.435419702 2439.061378623 2603.027148643 2603.027148643 2475.914305519 2475.914305519 2519.837469230
3121275284 2950.249614211 2438.646084294 2438.646084294 511.603529917	2438.646173457 2500.912998115 2518.819783184 2607.239617165 2518.919424390 2658.901556672 2471.570150000 2439.061378623 2590.599125606 2590.599125606 2458.281888363 2458.281888363 2502.510237034
3304879712 2950.249614211 2438.646084294 2438.646084294 511.603529917	2438.646173457 2500.912998115 2513.247880668 2603.364121634 2516.566565093 2655.468660166 2471.570150000 2439.061378623 2599.435150682 2599.435150682 2464.546638362 2464.546638362 2498.667280560
3488484140 2950.249614211 2438.646084294 2438.646084294 511.603529917	2438.646173457 2468.967816426 2509.321702739 2598.641506365 2515.622833544 2652.034545330 2471.570150000 2439.061378623 2587.034715926 2587.034715926 2454.253163363 2454.253163363 2500.034103523
1836044288 3414.396742274 2756.211472216 2756.211472216 658.185270058	2756.211538944 3065.864840233 3006.103069653 2933.428408320 2998.704858655 3052.483691516 2938.588853205 2843.359319120 2987.173138147 2987.173138147 2880.089671243 2880.089671243 2957.975329866
2019648716 3414.396742274 2756.211472216 2756.211472216 658.185270058	2756.211538944 3012.269975233 3005.895667109 2930.300910783 2984.332345417 3052.280373922 2938.428163132 2827.328681805 2969.860085748 2969.860085748 2847.755471268 2847.755471268 2932.937944683
2203253144 3414.396742274 2756.211472216 2756.211472216 658.185270058	2756.211538944 2979.287917596 2978.680552669 2924.843399683 2971.629214296 3052.156951332 2933.055796174 2809.111200527 2945.814043172 2945.814043172 2868.738559918 2868.738559918 2917.977251473
2386857572 3414.396742274 2756.211472216 2756.211472216 658.185270058	2756.211538944 2956.475199206 2953.175457955 2914.123757091 2966.150649418 3048.657007042 2886.087679644 2780.573956073 2949.762585194 2949.762585194 2848.829259575 2848.829259575 2898.168881173
