capacity sum_comm_comp max(sum_comm,sum_comp) sum_comm sum_comp OMIM OS GG BP OOSIM IOCMS DOCPS IOCCS DOCCS LCMR SCMR MAMR OOLCMR OOSCMR OOMAMR
352800 1.126732839 1.026458489 1.026458489 0.100274350 1.026481176 1.028213282 1.026485733 1.031810123 1.030581000 1.030624197 1.028618521 1.027890193 1.027894313 1.028254147 1.028213282 1.028213282 1.030053046 1.030053046 1.030291973  
176400 1.133317651 1.038303146 1.038303146 0.095014505 1.038326194 1.127547979 1.129704651 1.131954053 1.127592652 1.130500958 1.127306284 1.129687459 1.129730992 1.126466440 1.126272248 1.126272248 1.126744476 1.126744476 1.126772619  
198450 1.133317651 1.038303146 1.038303146 0.095014505 1.038326194 1.127547979 1.129704651 1.132042100 1.127592652 1.130500958 1.127306284 1.129687459 1.129730992 1.126310655 1.126272248 1.126272248 1.126744476 1.126744476 1.126772619  
242550 1.133317651 1.038303146 1.038303146 0.095014505 1.038326194 1.126389486 1.124217084 1.124308011 1.126270231 1.124544450 1.126377781 1.122856936 1.123698149 1.108927962 1.104508314 1.104508314 1.120226951 1.120226951 1.106473619  
264600 1.133317651 1.038303146 1.038303146 0.095014505 1.038326194 1.122569517 1.117093453 1.107962748 1.124972600 1.113949587 1.125086419 1.114671603 1.114914075 1.110281301 1.102240463 1.102240463 1.100862837 1.100862837 1.101006075  
286650 1.133317651 1.038303146 1.038303146 0.095014505 1.038326194 1.122569517 1.116930237 1.109712624 1.124626731 1.113778936 1.124740550 1.114514380 1.114743424 1.108756813 1.101238919 1.101238919 1.099914793 1.099914793 1.099518950  
308700 1.133317651 1.038303146 1.038303146 0.095014505 1.038326194 1.116024273 1.111494118 1.104778171 1.117190738 1.109015288 1.116925732 1.110875443 1.111265861 1.094723051 1.084355999 1.084355999 1.086024312 1.086024312 1.082607117  
330750 1.133317651 1.038303146 1.038303146 0.095014505 1.038326194 1.073124333 1.073954235 1.070968222 1.078094906 1.074313723 1.077443297 1.071692129 1.071362511 1.051988300 1.042466613 1.042466613 1.047810699 1.047810699 1.041702388  
352800 1.133317651 1.038303146 1.038303146 0.095014505 1.038326194 1.040973507 1.038333206 1.044107687 1.041339425 1.041470387 1.041091447 1.039817776 1.039862947 1.040935888 1.040749835 1.040749835 1.040857361 1.040857361 1.041267826  
176400 1.151070061 1.045196609 1.045196609 0.105873452 1.045219813 1.144597198 1.146666679 1.149799023 1.144717145 1.147777053 1.144299735 1.146909566 1.146907734 1.143663445 1.143349349 1.143349349 1.143723048 1.143723048 1.143662057  
198450 1.151070061 1.045196609 1.045196609 0.105873452 1.045219813 1.144597198 1.146666679 1.149337982 1.144717145 1.147777053 1.144299735 1.146909566 1.146907734 1.143663445 1.143349349 1.143349349 1.143723048 1.143723048 1.143662057  
242550 1.151070061 1.045196609 1.045196609 0.105873452 1.045219813 1.142951094 1.142124445 1.142005925 1.143537231 1.142945342 1.143790411 1.141809054 1.141786327 1.127191912 1.121972896 1.121972896 1.138307883 1.138307883 1.124272520  
264600 1.151070061 1.045196609 1.045196609 0.105873452 1.045219813 1.139453334 1.131500398 1.124747333 1.142525837 1.131553034 1.141032868 1.130972873 1.130696817 1.126947651 1.118085687 1.118085687 1.116707787 1.116707787 1.117072154  
286650 1.151070061 1.045196609 1.045196609 0.105873452 1.045219813 1.139111566 1.131348975 1.123136163 1.142525837 1.131553034 1.141032868 1.130972873 1.130696817 1.126447809 1.116538665 1.116538665 1.115592669 1.115592669 1.115765142  
308700 1.151070061 1.045196609 1.045196609 0.105873452 1.045219813 1.132098500 1.125449879 1.119138515 1.133382257 1.125543300 1.131848237 1.125732023 1.125174095 1.110972968 1.098745385 1.098745385 1.100063104 1.100063104 1.097459756  
330750 1.151070061 1.045196609 1.045196609 0.105873452 1.045219813 1.087923067 1.084005577 1.084105218 1.093680006 1.089574833 1.090516495 1.086746524 1.086252738 1.065423506 1.053587749 1.053587749 1.060312170 1.060312170 1.053224270  
352800 1.151070061 1.045196609 1.045196609 0.105873452 1.045219813 1.050370950 1.045239976 1.056244184 1.052689169 1.052772306 1.051126307 1.049835145 1.049882387 1.050354524 1.050370950 1.050370950 1.050585032 1.050585032 1.051997749  
176400 1.079618821 0.975274784 0.975274784 0.104344037 0.975298777 1.073747318 1.076259661 1.077608942 1.073775119 1.076539532 1.073591233 1.076271085 1.076191232 1.072752925 1.072394243 1.072394243 1.072573041 1.072573041 1.072614754  
198450 1.079618821 0.975274784 0.975274784 0.104344037 0.975298777 1.073747318 1.076259661 1.077669411 1.073775119 1.076539532 1.073591233 1.076271085 1.076191232 1.072752925 1.072394243 1.072394243 1.072573041 1.072573041 1.072614754  
242550 1.079618821 0.975274784 0.975274784 0.104344037 0.975298777 1.071975908 1.071694893 1.071897836 1.072650617 1.071672971 1.072710458 1.072082441 1.070463981 1.057536256 1.054091329 1.054091329 1.068625325 1.068625325 1.054159846  
264600 1.079618821 0.975274784 0.975274784 0.104344037 0.975298777 1.068311733 1.059821815 1.054457197 1.071053837 1.059218633 1.069482665 1.058157343 1.058312531 1.055982430 1.046230902 1.046230902 1.045707656 1.045707656 1.044775753  
286650 1.079618821 0.975274784 0.975274784 0.104344037 0.975298777 1.068311733 1.059821815 1.053763898 1.070445551 1.059218633 1.068874379 1.058157343 1.058312531 1.054471367 1.045571591 1.045571591 1.044437947 1.044437947 1.043314832  
308700 1.079618821 0.975274784 0.975274784 0.104344037 0.975298777 1.063807280 1.054062814 1.050400194 1.064569349 1.054720169 1.063380203 1.052649825 1.052855030 1.043032459 1.031844323 1.031844323 1.032482123 1.032482123 1.029463342  
330750 1.079618821 0.975274784 0.975274784 0.104344037 0.975298777 1.021777175 1.015831624 1.017498110 1.030144318 1.018584521 1.027194364 1.019240356 1.019106673 0.995527742 0.984244711 0.984244711 0.994652115 0.994652115 0.985045177  
352800 1.079618821 0.975274784 0.975274784 0.104344037 0.975298777 0.981457847 0.975342431 0.986528802 0.982574129 0.982410490 0.981448201 0.979543487 0.979536172 0.981498276 0.981454448 0.981454448 0.981020082 0.981020082 0.981432631  
176400 1.123667329 1.017617262 1.017617262 0.106050067 1.017640216 1.117201281 1.119504021 1.121906002 1.117719308 1.120498117 1.117436945 1.119889591 1.119796136 1.116110030 1.115850562 1.115850562 1.116514953 1.116514953 1.116582132  
198450 1.123667329 1.017617262 1.017617262 0.106050067 1.017640216 1.117201281 1.119504021 1.121892832 1.117719308 1.120498117 1.117436945 1.119889591 1.119796136 1.116110030 1.115850562 1.115850562 1.116514953 1.116514953 1.116582132  
242550 1.123667329 1.017617262 1.017617262 0.106050067 1.017640216 1.114821894 1.115455029 1.114587947 1.116747253 1.114639085 1.116720942 1.113414902 1.112385321 1.100864714 1.095628660 1.095628660 1.109553169 1.109553169 1.094500919  
264600 1.123667329 1.017617262 1.017617262 0.106050067 1.017640216 1.111379730 1.105502470 1.098904462 1.115031354 1.104212769 1.113882721 1.102726478 1.103291459 1.098366320 1.089886223 1.089886223 1.088640086 1.088640086 1.088724993  
286650 1.123667329 1.017617262 1.017617262 0.106050067 1.017640216 1.111379730 1.105502470 1.097373573 1.114874761 1.104104945 1.113726128 1.102500560 1.103192170 1.098506256 1.090294058 1.090294058 1.087912984 1.087912984 1.087667085  
308700 1.123667329 1.017617262 1.017617262 0.106050067 1.017640216 1.105024855 1.099459365 1.091819209 1.107969836 1.098786001 1.106683806 1.096437395 1.096812231 1.084188569 1.071853132 1.071853132 1.074397443 1.074397443 1.072190017  
330750 1.123667329 1.017617262 1.017617262 0.106050067 1.017640216 1.059857232 1.057044783 1.058038466 1.066857721 1.062543936 1.064947280 1.060876753 1.060839996 1.036246614 1.024653983 1.024653983 1.031842260 1.031842260 1.025036778  
352800 1.123667329 1.017617262 1.017617262 0.106050067 1.017640216 1.021503898 1.017666352 1.025552167 1.023654300 1.023739485 1.022375738 1.020732171 1.020842863 1.021511711 1.021503898 1.021503898 1.022355716 1.022355716 1.022608976  
176400 1.139686578 1.039857474 1.039857474 0.099829104 1.039878622 1.134314436 1.136521821 1.138341999 1.134059638 1.136303765 1.133845463 1.136490183 1.136523074 1.133150780 1.132966124 1.132966124 1.133311686 1.133311686 1.133319185  
198450 1.139686578 1.039857474 1.039857474 0.099829104 1.039878622 1.134314436 1.136521821 1.137775385 1.134059638 1.136303765 1.133845463 1.136490183 1.136523074 1.133150780 1.132966124 1.132966124 1.133311686 1.133311686 1.133319185  
242550 1.139686578 1.039857474 1.039857474 0.099829104 1.039878622 1.132560741 1.132089012 1.134344303 1.132151749 1.132628574 1.131352796 1.132124864 1.131505416 1.119204435 1.114400788 1.114400788 1.125639443 1.125639443 1.114476852  
264600 1.139686578 1.039857474 1.039857474 0.099829104 1.039878622 1.129499869 1.122780166 1.115113803 1.131194710 1.120323769 1.130491708 1.120721698 1.121052694 1.117728283 1.109603094 1.109603094 1.105968117 1.105968117 1.106230484  
286650 1.139686578 1.039857474 1.039857474 0.099829104 1.039878622 1.129499869 1.122524816 1.115918759 1.131031300 1.120323769 1.130328298 1.120549504 1.120893592 1.117187556 1.108774404 1.108774404 1.104905750 1.104905750 1.105071460  
308700 1.139686578 1.039857474 1.039857474 0.099829104 1.039878622 1.125448087 1.118041761 1.111442364 1.125149249 1.114366273 1.124585867 1.116769342 1.116871157 1.105304390 1.094192495 1.094192495 1.094980025 1.094980025 1.092322993  
330750 1.139686578 1.039857474 1.039857474 0.099829104 1.039878622 1.081220596 1.077869935 1.078488072 1.086058307 1.080712162 1.086419349 1.079681570 1.080307574 1.057322550 1.046009086 1.046009086 1.053386824 1.053386824 1.046476881  
352800 1.139686578 1.039857474 1.039857474 0.099829104 1.039878622 1.042810797 1.039883884 1.047090647 1.044388522 1.043643773 1.045478659 1.042229132 1.042358415 1.042790970 1.042807481 1.042807481 1.043448965 1.043448965 1.045149354  
