capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
82280 2.014246307 1.707189418 1.707189418 0.307056889	1.707212830 1.918196657 1.923147901 1.916647148 1.922418414 1.915433759 1.915097357 1.835998984 1.817988989 1.817988989 1.830753613 1.830753613 1.819066627
87120 2.014246307 1.707189418 1.707189418 0.307056889	1.707212830 1.783634197 1.784566072 1.777995773 1.784495070 1.777650504 1.778778774 1.728884787 1.716152036 1.716152036 1.715295154 1.715295154 1.716424653
91960 2.014246307 1.707189418 1.707189418 0.307056889	1.707212830 1.722695354 1.722002443 1.721893616 1.722676621 1.717789857 1.717518802 1.714752364 1.714668611 1.714668611 1.710608052 1.710608052 1.715121771
48400 1.998787201 1.683765364 1.683765364 0.315021837	1.683786908 1.997703527 1.995985336 1.997412877 1.996101971 1.997240671 1.997158555 1.983178993 1.983238104 1.983238104 1.983841541 1.983841541 1.983357478
53240 1.998787201 1.683765364 1.683765364 0.315021837	1.683786908 1.996749056 1.994113154 1.996037313 1.994186986 1.995421965 1.995227659 1.972248979 1.971101921 1.971101921 1.974699235 1.974699235 1.972038967
58080 1.998787201 1.683765364 1.683765364 0.315021837	1.683786908 1.995895141 1.993220884 1.994761908 1.992991469 1.994149263 1.993962334 1.970636314 1.968394547 1.968394547 1.974043062 1.974043062 1.969842067
62920 1.998787201 1.683765364 1.683765364 0.315021837	1.683786908 1.978664270 1.980947868 1.980127182 1.980771495 1.978151993 1.978822186 1.955534781 1.953328513 1.953328513 1.961787801 1.961787801 1.954919303
67760 1.998787201 1.683765364 1.683765364 0.315021837	1.683786908 1.961998872 1.972184395 1.967342144 1.972005142 1.967643418 1.968174158 1.949734410 1.948943483 1.948943483 1.952812551 1.952812551 1.950714756
72600 1.998787201 1.683765364 1.683765364 0.315021837	1.683786908 1.956193243 1.963931651 1.959349932 1.963850385 1.959573168 1.959895363 1.939852396 1.937209658 1.937209658 1.941825796 1.941825796 1.935718044
77440 1.998787201 1.683765364 1.683765364 0.315021837	1.683786908 1.945326834 1.949676335 1.942745758 1.949160918 1.942587214 1.942904348 1.934180554 1.931489202 1.931489202 1.928050864 1.928050864 1.926258013
82280 1.998787201 1.683765364 1.683765364 0.315021837	1.683786908 1.900690426 1.905450561 1.898117431 1.905359750 1.896131381 1.896167190 1.813057832 1.794068822 1.794068822 1.806891093 1.806891093 1.797469389
87120 1.998787201 1.683765364 1.683765364 0.315021837	1.683786908 1.761884909 1.763105847 1.755389182 1.762875230 1.753819208 1.753997600 1.706101943 1.692886128 1.692886128 1.690659394 1.690659394 1.697101930
91960 1.998787201 1.683765364 1.683765364 0.315021837	1.683786908 1.699359074 1.699104273 1.699249424 1.699151429 1.694353175 1.694108512 1.692202675 1.692000683 1.692000683 1.690439179 1.690439179 1.694051021
48400 1.972587662 1.663715401 1.663715401 0.308872261	1.663737436 1.971008964 1.970352735 1.971752542 1.970372771 1.970778499 1.970747624 1.956759647 1.956781407 1.956781407 1.957065461 1.957065461 1.956822838
53240 1.972587662 1.663715401 1.663715401 0.308872261	1.663737436 1.969901721 1.967914643 1.970811206 1.967973915 1.969591095 1.969565579 1.946652051 1.944695544 1.944695544 1.947150597 1.947150597 1.945373703
58080 1.972587662 1.663715401 1.663715401 0.308872261	1.663737436 1.968836762 1.966201082 1.969013416 1.966290046 1.968016567 1.968091507 1.945240162 1.942310544 1.942310544 1.947297406 1.947297406 1.944307212
62920 1.972587662 1.663715401 1.663715401 0.308872261	1.663737436 1.954065479 1.954586965 1.954221086 1.954455116 1.954681365 1.954704863 1.930089998 1.928361352 1.928361352 1.934674905 1.934674905 1.929789601
67760 1.972587662 1.663715401 1.663715401 0.308872261	1.663737436 1.937818192 1.945086174 1.941284947 1.944812727 1.942315291 1.942366376 1.926294858 1.925059767 1.925059767 1.926732401 1.926732401 1.926702339
72600 1.972587662 1.663715401 1.663715401 0.308872261	1.663737436 1.930203200 1.937655882 1.932465813 1.937019254 1.933083121 1.933132875 1.915647986 1.913239053 1.913239053 1.917527863 1.917527863 1.908614289
77440 1.972587662 1.663715401 1.663715401 0.308872261	1.663737436 1.921362514 1.924444361 1.917666675 1.924133581 1.917259489 1.916797435 1.911952174 1.909450998 1.909450998 1.902882730 1.902882730 1.901558766
82280 1.972587662 1.663715401 1.663715401 0.308872261	1.663737436 1.877235999 1.880314337 1.873400366 1.880283424 1.875381184 1.874783630 1.793318089 1.775863983 1.775863983 1.787352523 1.787352523 1.778498448
87120 1.972587662 1.663715401 1.663715401 0.308872261	1.663737436 1.737660374 1.737550880 1.732775010 1.739007105 1.729941321 1.729821706 1.686135873 1.671865732 1.671865732 1.670682375 1.670682375 1.672593818
91960 1.972587662 1.663715401 1.663715401 0.308872261	1.663737436 1.678334551 1.677027026 1.676339667 1.676895304 1.673498275 1.673361470 1.670640155 1.670358940 1.670358940 1.667829049 1.667829049 1.670395397
48400 2.017357542 1.709567610 1.709567610 0.307789932	1.709590751 2.016148044 2.015254556 2.016222426 2.015193586 2.016057287 2.016035614 2.002734325 2.002770022 2.002770022 2.002930147 2.002930147 2.002729157
53240 2.017357542 1.709567610 1.709567610 0.307789932	1.709590751 2.015116633 2.013283141 2.014962746 2.013217834 2.014559654 2.014619825 1.992524794 1.989992867 1.989992867 1.993841893 1.993841893 1.990895795
