capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
36300 0.217627463 0.188678735 0.188678735 0.028948728	0.188688931 0.213314738 0.213833890 0.213610882 0.213793028 0.213332198 0.213300089 0.212706420 0.212362310 0.212362310 0.212220808 0.212220808 0.212409739
38720 0.217627463 0.188678735 0.188678735 0.028948728	0.188688931 0.213314738 0.213833890 0.213610882 0.213793028 0.213332198 0.213300089 0.212707520 0.212424816 0.212424816 0.212216606 0.212216606 0.212307871
41140 0.217627463 0.188678735 0.188678735 0.028948728	0.188688931 0.209411586 0.209460566 0.209335397 0.209480731 0.209387558 0.209264693 0.202373479 0.201740937 0.201740937 0.201641843 0.201641843 0.201701529
43560 0.217627463 0.188678735 0.188678735 0.028948728	0.188688931 0.197682216 0.198249539 0.198225107 0.198282940 0.195135442 0.195579370 0.193281974 0.192045059 0.192045059 0.191878608 0.191878608 0.192208852
45980 0.217627463 0.188678735 0.188678735 0.028948728	0.188688931 0.192435215 0.192714011 0.192723076 0.192831554 0.189897456 0.190332801 0.191752865 0.191757415 0.191757415 0.191195277 0.191195277 0.191803799
24200 0.205238326 0.177129906 0.177129906 0.028108420	0.177140914 0.205056490 0.204719172 0.204910159 0.204747862 0.204911651 0.204912481 0.203088794 0.203058043 0.203058043 0.203079308 0.203079308 0.203086657
26620 0.205238326 0.177129906 0.177129906 0.028108420	0.177140914 0.205009182 0.204655926 0.204894994 0.204708838 0.204824084 0.204842375 0.203015875 0.203019620 0.203019620 0.203039505 0.203039505 0.201714728
29040 0.205238326 0.177129906 0.177129906 0.028108420	0.177140914 0.204953981 0.204618837 0.204839508 0.204647521 0.204824084 0.204842375 0.203037105 0.203026413 0.203026413 0.203043969 0.203043969 0.203051401
31460 0.205238326 0.177129906 0.177129906 0.028108420	0.177140914 0.202946622 0.202671920 0.202940772 0.202836374 0.202898808 0.202856314 0.200444104 0.200224608 0.200224608 0.201570195 0.201570195 0.200324654
33880 0.205238326 0.177129906 0.177129906 0.028108420	0.177140914 0.201054878 0.201458363 0.201159242 0.201463299 0.201160870 0.201182516 0.200079546 0.200203417 0.200203417 0.198192091 0.198192091 0.199557110
36300 0.205238326 0.177129906 0.177129906 0.028108420	0.177140914 0.200894958 0.201379328 0.200959245 0.201358172 0.200950222 0.200995946 0.200347794 0.200036662 0.200036662 0.198644911 0.198644911 0.199540165
38720 0.205238326 0.177129906 0.177129906 0.028108420	0.177140914 0.200894958 0.201379328 0.200959245 0.201358172 0.200950222 0.200995946 0.200364329 0.200315118 0.200315118 0.198622507 0.198622507 0.199476793
41140 0.205238326 0.177129906 0.177129906 0.028108420	0.177140914 0.196899871 0.197974202 0.196986762 0.197871854 0.196974914 0.197059276 0.190951709 0.189736991 0.189736991 0.189637631 0.189637631 0.189643260
