#capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
1522 2.155880951 1.791036548 1.791036548 0.364844403	1.791046810 1.826940598 1.831333636 1.831228718 1.822752228 1.817139976 1.817301558 1.801659008 1.796608545 1.796608545 1.798430439 1.798430439 1.811499817
1611 2.155880951 1.791036548 1.791036548 0.364844403	1.791046810 1.815619922 1.820322009 1.818651186 1.810994641 1.804987444 1.805005760 1.798913696 1.796129238 1.796129238 1.796880725 1.796880725 1.810341992
1700 2.155880951 1.791036548 1.791036548 0.364844403	1.791046810 1.808060363 1.813546541 1.810486621 1.802863066 1.797625432 1.797733047 1.795815551 1.795398904 1.795398904 1.795815955 1.795815955 1.808796867
899 2.217127887 1.880635148 1.880635148 0.336492739	1.880645555 2.093818594 2.093377351 2.093833435 2.093930441 2.088781837 2.090525106 1.982823846 1.949112615 1.949112615 1.954694011 1.954694011 1.954144112
988 2.217127887 1.880635148 1.880635148 0.336492739	1.880645555 2.059101041 2.058616373 2.062968235 2.057962761 2.055383508 2.057588018 1.960005179 1.915050695 1.915050695 1.921795900 1.921795900 1.921069787
1077 2.217127887 1.880635148 1.880635148 0.336492739	1.880645555 2.024587800 2.023315723 2.026440765 2.022962296 2.020772220 2.021556954 1.937492884 1.894089071 1.894089071 1.921299498 1.921299498 1.910501549
1166 2.217127887 1.880635148 1.880635148 0.336492739	1.880645555 1.994995737 1.990764081 1.994132715 1.990474394 1.987896470 1.989619938 1.920587542 1.888700510 1.888700510 1.906552628 1.906552628 1.899743381
1255 2.217127887 1.880635148 1.880635148 0.336492739	1.880645555 1.966774272 1.966474401 1.967686500 1.963699710 1.960365691 1.962043555 1.907149832 1.887243344 1.887243344 1.897034515 1.897034515 1.895381084
1344 2.217127887 1.880635148 1.880635148 0.336492739	1.880645555 1.944621534 1.945529944 1.945202666 1.943494381 1.938177462 1.939969805 1.898055976 1.885436617 1.885436617 1.891456573 1.891456573 1.895979664
1433 2.217127887 1.880635148 1.880635148 0.336492739	1.880645555 1.924993247 1.927285590 1.927293100 1.923992328 1.918275426 1.920524806 1.892886391 1.886132332 1.886132332 1.887422158 1.887422158 1.894893265
1522 2.217127887 1.880635148 1.880635148 0.336492739	1.880645555 1.909662115 1.913623177 1.912803912 1.909993775 1.903755839 1.904180303 1.888181238 1.885938221 1.885938221 1.885943468 1.885943468 1.895007572
1611 2.217127887 1.880635148 1.880635148 0.336492739	1.880645555 1.899372354 1.902734287 1.902136941 1.897994174 1.893379660 1.893771022 1.885537789 1.885186535 1.885186535 1.885503096 1.885503096 1.894019709
1700 2.217127887 1.880635148 1.880635148 0.336492739	1.880645555 1.892642931 1.895977701 1.894627509 1.891191009 1.885635819 1.885639818 1.885331322 1.885683139 1.885683139 1.884978250 1.884978250 1.893244816
899 2.218345827 1.872706555 1.872706555 0.345639272	1.872716751 2.091511404 2.092267030 2.089904567 2.090750224 2.087749925 2.087747696 1.976550389 1.943066347 1.943066347 1.948843640 1.948843640 1.950005897
988 2.218345827 1.872706555 1.872706555 0.345639272	1.872716751 2.056449929 2.057762754 2.055790600 2.055175006 2.050637078 2.050198092 1.950338746 1.909223584 1.909223584 1.923432989 1.923432989 1.915926626
1077 2.218345827 1.872706555 1.872706555 0.345639272	1.872716751 2.021039288 2.020534615 2.020735633 2.018696339 2.013215918 2.012561594 1.930882819 1.887181226 1.887181226 1.912230655 1.912230655 1.904762878
1166 2.218345827 1.872706555 1.872706555 0.345639272	1.872716751 1.991439678 1.991890813 1.990215302 1.989714346 1.984266872 1.983551542 1.915809746 1.880403476 1.880403476 1.898044514 1.898044514 1.894999978
