capacity sum_comm_comp max(sum_comm,sum_comp) sum_comm sum_comp OMIM OS GG BP OOSIM IOCMS DOCPS IOCCS DOCCS LCMR SCMR MAMR OOLCMR OOSCMR OOMAMR  
2983571968 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3406.041016808 3284.054439978 3373.602458911 3517.516735263 3475.578061551 3457.618921312 3455.014864653 3365.533319479 3342.034136510 3457.320736735 3457.320736735 3299.429087662 3299.429087662 3390.755718258  
3213077504 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3391.985868394 3284.054439978 3392.798188460 3517.516735263 3468.583096433 3419.872505316 3403.580506329 3365.533319479 3342.034136510 3454.211889060 3454.211889060 3337.889534089 3337.889534089 3387.700645331  
3442583040 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3383.597609411 3281.296743383 3288.547250555 3455.422638443 3460.970270780 3416.365743672 3384.653693160 3336.276129186 3342.034136510 3431.161975884 3431.161975884 3317.546828970 3317.546828970 3378.502282101  
3672088576 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3383.597609411 3281.296743383 3315.104389543 3455.422638443 3458.288148217 3405.833663753 3384.653693160 3323.535708859 3342.034136510 3425.539282363 3425.539282363 3313.270949039 3313.270949039 3377.743338498  
1836044288 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2526.739652165 2541.719361819 2625.219623246 2607.759695851 2577.699145260 2543.701106498 2561.099169457 2564.766575493 2457.687168375 2515.768989555 2515.768989555 2446.873037776 2446.873037776 2541.160854422  
2065549824 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2511.018500230 2541.719361819 2533.145119438 2602.048722029 2575.426702312 2536.619446304 2560.864213816 2559.284477512 2429.046678821 2485.690070554 2485.690070554 2338.506803722 2338.506803722 2483.614006126  
2524560896 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2435.377720973 2437.332357767 2407.513107013 2598.368172076 2529.275428166 2501.860500416 2553.612250525 2519.445347980 2389.107534726 2432.760065425 2432.760065425 2234.547640966 2234.547640966 2437.591178232  
2754066432 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2371.140256330 2306.399398236 2320.166465757 2447.512184984 2403.619548866 2466.618985635 2406.850079129 2385.019768594 2310.805189480 2370.267682978 2370.267682978 2253.423489297 2253.423489297 2361.590714618  
2983571968 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2349.826034667 2306.399398236 2396.827059889 2447.512184984 2398.558579088 2463.056878962 2406.850079129 2385.019768594 2310.805189480 2370.164771661 2370.164771661 2235.799715974 2235.799715974 2330.550680061  
3213077504 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2304.405605830 2306.399398236 2295.365609698 2447.512184984 2344.844846711 2460.908011813 2406.794974354 2385.019768594 2298.498846069 2306.171120410 2306.171120410 2224.165842433 2224.165842433 2375.053933424  
3442583040 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2304.405605830 2306.399398236 2313.370255192 2416.568043735 2310.175063941 2456.321331007 2394.569084724 2357.806722930 2279.780594450 2292.348328644 2292.348328644 2243.204615429 2243.204615429 2325.658016535  
3672088576 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2292.173869015 2278.777495766 2254.126466176 2381.898786912 2306.477845644 2378.556551156 2355.569846505 2323.137466107 2279.780594450 2280.872669726 2280.872669726 2259.939242301 2259.939242301 2363.402516010  
1836044288 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2618.484823180 2575.759895348 2635.733150280 2657.512974583 2566.687881558 2620.652844787 2620.959188891 2603.604743981 2501.332982040 2561.741272542 2561.741272542 2511.060502062 2511.060502062 2629.425142597  
2065549824 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2568.715109754 2548.206490751 2586.872722660 2657.512974583 2566.416384629 2612.397655778 2620.959188891 2583.071367852 2501.362308544 2562.184164531 2562.184164531 2464.506985249 2464.506985249 2594.464201157  
2524560896 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2557.110397523 2493.171286376 2568.502592991 2640.546180011 2565.442281740 2598.733800068 2620.796645648 2582.863094322 2501.362308544 2561.217971430 2561.217971430 2468.667581018 2468.667581018 2587.543175058  
2754066432 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2518.939880576 2485.904599864 2515.297921486 2581.386183950 2565.243807834 2595.923773044 2561.636649587 2512.879278232 2500.947975181 2559.760618551 2559.760618551 2456.643826822 2456.643826822 2579.699297789  
2983571968 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2515.649004044 2441.017315338 2497.108182234 2567.379775233 2564.875941227 2584.478104328 2561.636649587 2512.879278232 2500.947975181 2561.026519728 2561.026519728 2439.394497835 2439.394497835 2576.443386958  
3213077504 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2500.912998115 2438.646096718 2472.300864924 2566.963941683 2560.751149541 2582.728516149 2561.636649587 2512.879278232 2500.947975181 2557.197500917 2557.197500917 2484.214219386 2484.214219386 2574.094111536  
3442583040 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2468.967816426 2438.646096718 2461.760287458 2546.516371311 2560.751149541 2570.943181659 2554.695744221 2512.879278232 2500.947975181 2554.558606910 2554.558606910 2481.349458186 2481.349458186 2522.318047221  
3672088576 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2468.967816426 2438.646096718 2483.193442479 2546.516371311 2560.368960494 2568.681776558 2554.695744221 2480.220475656 2500.947975181 2557.062883020 2557.062883020 2457.191518650 2457.191518650 2520.990692912  
1836044288 3414.396742274 2756.211472216 2756.211472216 658.185270058 2756.211483920 3065.864840233 2911.942152882 2974.004702741 3014.710404719 2970.134332899 2999.470920760 3025.823833610 2972.119365737 2831.252590436 2950.665427007 2950.665427007 2879.551973983 2879.551973983 2952.034949674  
2065549824 3414.396742274 2756.211472216 2756.211472216 658.185270058 2756.211483920 3012.269975233 2899.358643330 2924.090024299 3014.710404719 2963.950259846 2991.291061487 2995.911694850 2966.640014103 2816.807846129 2925.619855516 2925.619855516 2876.495413501 2876.495413501 2932.925115359  
2524560896 3414.396742274 2756.211472216 2756.211472216 658.185270058 2756.211483920 2932.293647680 2839.745367782 2825.991262392 2995.503980228 2943.786481912 2978.113776757 2995.114962117 2941.587514569 2815.917319984 2868.366613863 2868.366613863 2813.393967572 2813.393967572 2925.336208534  
