optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
0.337910685 0.435329299 0.434105856 0.431382537 0.437511963 0.437123015 0.436051881 0.429197497 0.417259598 0.417259598 0.436930916 0.436930916 0.436256799
0.337910685 0.432728913 0.431488362 0.428044326 0.435207673 0.434314647 0.433384745 0.427789172 0.411222589 0.411222589 0.435862525 0.435862525 0.435758482
0.337910685 0.429241671 0.427572726 0.423494102 0.431269495 0.429761019 0.428255836 0.428217651 0.408621103 0.408621103 0.436384013 0.436384013 0.435042398
0.337910685 0.415207263 0.414843311 0.411838068 0.418078257 0.417110141 0.415585028 0.395157242 0.373932597 0.373932597 0.394998821 0.394998821 0.393735448
0.337910685 0.375825911 0.375610637 0.373602941 0.376659350 0.374066708 0.373020221 0.361083349 0.357255043 0.357255043 0.357229291 0.357229291 0.358746409
0.337910685 0.358988855 0.359548936 0.359358950 0.358655631 0.355868838 0.354692501 0.356344229 0.356010830 0.356010830 0.355042496 0.355042496 0.357545283
0.358303459 0.461083129 0.465970559 0.467381836 0.461080147 0.462725510 0.462749133 0.456637268 0.455907884 0.455907884 0.456537327 0.456537327 0.457405492
0.358303459 0.460468853 0.464535927 0.465929633 0.460443769 0.462232475 0.462079296 0.453614493 0.452218623 0.452218623 0.453318109 0.453318109 0.454475258
0.358303459 0.460063489 0.463679142 0.464915436 0.459969972 0.461729586 0.461644018 0.452939177 0.451772429 0.451772429 0.452867107 0.452867107 0.453832630
0.358303459 0.454728368 0.456101060 0.455712428 0.455410350 0.457121929 0.455739616 0.445871149 0.430694793 0.430694793 0.430030634 0.430030634 0.450278029
0.358303459 0.449294016 0.447807569 0.445636978 0.451406038 0.451425666 0.450527062 0.445246497 0.432565397 0.432565397 0.451645875 0.451645875 0.451092447
0.358303459 0.447192908 0.445045661 0.442959653 0.449003186 0.449112391 0.448226504 0.441649333 0.427757910 0.427757910 0.451193843 0.451193843 0.448831366
0.358303459 0.444148140 0.441967601 0.438926487 0.445349917 0.444488790 0.443399519 0.441681746 0.423956415 0.423956415 0.450922724 0.450922724 0.449861926
0.358303459 0.432649458 0.431173513 0.428088204 0.433970737 0.433109096 0.431637290 0.413589010 0.393208768 0.393208768 0.413508478 0.413508478 0.414276144
0.358303459 0.394960824 0.392853545 0.392807811 0.394278151 0.390636851 0.389910751 0.379408868 0.376908232 0.376908232 0.377479831 0.377479831 0.376947824
0.358303459 0.378511716 0.377965536 0.378593824 0.377835807 0.374111105 0.373486596 0.376059181 0.375766229 0.375766229 0.374601590 0.374601590 0.376445652
0.362034709 0.465649747 0.470313970 0.471806293 0.465637543 0.467466651 0.467638708 0.461223615 0.460521240 0.460521240 0.461230287 0.461230287 0.462026102
0.362034709 0.465150113 0.468894333 0.470432442 0.465034364 0.466935117 0.466955872 0.458324226 0.457901289 0.457901289 0.458157063 0.458157063 0.459221490
0.362034709 0.464587627 0.468167712 0.469581279 0.464586401 0.466438509 0.466507879 0.458024501 0.456192904 0.456192904 0.457562113 0.457562113 0.458834563
0.362034709 0.459613810 0.460908613 0.460615115 0.460144124 0.460972566 0.461031419 0.451840791 0.436025093 0.436025093 0.431913482 0.431913482 0.455100276
0.362034709 0.454029728 0.452544846 0.450486819 0.455993972 0.456017645 0.454977037 0.452707039 0.437620438 0.437620438 0.456557565 0.456557565 0.455971012
0.362034709 0.451957289 0.450359855 0.447867967 0.453685396 0.453735212 0.453074911 0.449332483 0.430129316 0.430129316 0.455571175 0.455571175 0.455871763
0.362034709 0.449134638 0.446948211 0.444007991 0.449692448 0.449936174 0.449099687 0.448151939 0.428723009 0.428723009 0.456114300 0.456114300 0.455577403
0.362034709 0.438028640 0.436444599 0.433359701 0.438435110 0.438496627 0.437912852 0.417591406 0.399400158 0.399400158 0.418143599 0.418143599 0.419203397
0.362034709 0.398609159 0.398480147 0.397258069 0.398475801 0.395407079 0.394680363 0.383505772 0.379925927 0.379925927 0.381160641 0.381160641 0.381882113
0.362034709 0.381770781 0.381986867 0.381994388 0.381397506 0.378424111 0.377778254 0.379341909 0.379050916 0.379050916 0.378257364 0.378257364 0.380138969
0.350786443 0.452606555 0.457487481 0.459111930 0.452478500 0.454401184 0.454536415 0.448541658 0.447682244 0.447682244 0.448707936 0.448707936 0.449486293
0.350786443 0.452051025 0.455918756 0.457564745 0.451744781 0.453703305 0.453928869 0.445482322 0.443779352 0.443779352 0.445448929 0.445448929 0.446407699
0.350786443 0.451572096 0.454975641 0.456476323 0.451370747 0.453312027 0.453329849 0.444950867 0.442671290 0.442671290 0.444602804 0.444602804 0.446011329
0.350786443 0.446701380 0.447881980 0.447497641 0.447666164 0.448108488 0.448060696 0.440195699 0.424079653 0.424079653 0.419741032 0.419741032 0.437690299
0.350786443 0.441668759 0.440389992 0.438085985 0.444144427 0.443830079 0.443133008 0.439182246 0.423770955 0.423770955 0.443678834 0.443678834 0.442865340
0.350786443 0.439398997 0.437760612 0.434989717 0.441552809 0.441247199 0.440249836 0.436479657 0.417880155 0.417880155 0.441193877 0.441193877 0.440255476
0.350786443 0.435769343 0.434354602 0.431155912 0.437985964 0.437341257 0.436295236 0.434833917 0.415933279 0.415933279 0.443225528 0.443225528 0.442682953
0.350786443 0.422798361 0.421742215 0.419268021 0.425551271 0.425661265 0.424533968 0.403174762 0.385287296 0.385287296 0.404237248 0.404237248 0.404285811
0.350786443 0.384767917 0.385093921 0.383779526 0.385396751 0.382812090 0.382479357 0.371413409 0.369158892 0.369158892 0.370686187 0.370686187 0.369856219
0.350786443 0.370743798 0.370670888 0.370590953 0.370080717 0.368017596 0.367249376 0.368182409 0.367623480 0.367623480 0.367846839 0.367846839 0.369009320
0.350773593 0.455406467 0.459983802 0.462019316 0.455293739 0.456579329 0.456045544 0.451251569 0.450976770 0.450976770 0.451366423 0.451366423 0.452184079
0.350773593 0.454924205 0.458439942 0.460565544 0.454548211 0.456012663 0.455517522 0.448228981 0.447471302 0.447471302 0.447111891 0.447111891 0.449121210
0.350773593 0.454467321 0.457823273 0.459801906 0.454087520 0.455560816 0.455129006 0.447559484 0.445903657 0.445903657 0.446946572 0.446946572 0.448628478
0.350773593 0.450081725 0.450904269 0.450948361 0.449221559 0.450387974 0.449921818 0.439600999 0.425036161 0.425036161 0.421785032 0.421785032 0.442847193
0.350773593 0.443941697 0.443202301 0.440872761 0.445363597 0.446010108 0.445469350 0.439446496 0.424630702 0.424630702 0.417551522 0.417551522 0.445147629
0.350773593 0.441915606 0.440268931 0.437158616 0.443009265 0.443446534 0.442992951 0.437230629 0.419366967 0.419366967 0.443400446 0.443400446 0.444266049
