sum_comm_comp max(sum_comm,sum_comp) sum_comm sum_comp OMIM
1.131503496 1.046452240 1.046452240 0.085051256 1.046476488
1.171299080 1.091908515 1.091908515 0.079390565 1.091930572
1.112210318 1.028700671 1.028700671 0.083509647 1.028725514
1.195067724 1.113139252 1.113139252 0.081928472 1.113163669
1.175483321 1.091141929 1.091141929 0.084341392 1.091165881
0.957469803 0.885144792 0.885144792 0.072325011 0.885168946
0.925142557 0.850306258 0.850306258 0.074836299 0.850329167
0.973444712 0.902433984 0.902433984 0.071010728 0.902456451
0.962118721 0.887580245 0.887580245 0.074538476 0.887606686
1.022539507 0.948176889 0.948176889 0.074362618 0.948199888
0.995211591 0.919169086 0.919169086 0.076042505 0.919193918
0.948000808 0.872981549 0.872981549 0.075019259 0.873004307
0.986110110 0.910119456 0.910119456 0.075990654 0.910143153
0.964482828 0.888273945 0.888273945 0.076208883 0.888298309
0.958059501 0.890762698 0.890762698 0.067296803 0.890786568
1.060033898 0.986163959 0.986163959 0.073869939 0.986186268
0.964176588 0.893072301 0.893072301 0.071104287 0.893096339
1.036069837 0.960144402 0.960144402 0.075925435 0.960169790
1.066583521 0.991745304 0.991745304 0.074838217 0.991768943
1.027723892 0.954324538 0.954324538 0.073399354 0.954348260
0.975960173 0.903620196 0.903620196 0.072339977 0.903643480
1.154700842 1.069678868 1.069678868 0.085021974 1.069702056
1.165122468 1.079775027 1.079775027 0.085347441 1.079799501
1.099279041 1.009829290 1.009829290 0.089449751 1.009853649
1.122358394 1.038051605 1.038051605 0.084306789 1.038072701
1.056746075 0.971273724 0.971273724 0.085472351 0.971298744
1.083942051 0.996513831 0.996513831 0.087428220 0.996538679
1.137991717 1.051484663 1.051484663 0.086507054 1.051508268
1.109652019 1.025796028 1.025796028 0.083855991 1.025819495
1.106260380 1.023763118 1.023763118 0.082497262 1.023783665
1.099116004 1.015282155 1.015282155 0.083833849 1.015306707
1.138516363 1.057875533 1.057875533 0.080640830 1.057899034
1.114209978 1.025847814 1.025847814 0.088362164 1.025872410
1.138064575 1.052994948 1.052994948 0.085069627 1.053019988
1.116351880 1.032987863 1.032987863 0.083364017 1.033011229
1.067600418 0.984936567 0.984936567 0.082663851 0.984960599
1.113409982 1.029555848 1.029555848 0.083854134 1.029578689
1.021024359 0.934312389 0.934312389 0.086711970 0.934337890
1.067234645 0.982079777 0.982079777 0.085154868 0.982102119
0.979014727 0.894215919 0.894215919 0.084798808 0.894241750
1.038963278 0.961441166 0.961441166 0.077522112 0.961463421
1.034672677 0.950027515 0.950027515 0.084645162 0.950051352
0.958602186 0.878958950 0.878958950 0.079643236 0.878981423
0.998190105 0.916089926 0.916089926 0.082100179 0.916115565
1.030734615 0.950775706 0.950775706 0.079958909 0.950797920
1.099820359 1.021096825 1.021096825 0.078723534 1.021120325
0.997461073 0.919321234 0.919321234 0.078139839 0.919346481
0.990452998 0.915456423 0.915456423 0.074996575 0.915480280
0.989964202 0.909913512 0.909913512 0.080050690 0.909937431
1.048244955 0.965310756 0.965310756 0.082934199 0.965335304
0.966694911 0.888728744 0.888728744 0.077966167 0.888752859
1.011257362 0.926176761 0.926176761 0.085080601 0.926202431
0.967050410 0.890420408 0.890420408 0.076630002 0.890444586
