capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	OMIM OS OOSIM IOCMS DOCPS IOCCS DOCCS LCMR SCMR MAMR OOLCMR OOSCMR OOMAMR
330750 1.123667329 1.017617262 1.017617262 0.106050067	1.017642630 1.059857232 1.066139145 1.062271647 1.065256179 1.060709528 1.059764916 1.035671514 1.028559805 1.028559805 1.030484073 1.030484073 1.026263326
176400 1.139686578 1.039857474 1.039857474 0.099829104	1.039880422 1.134314436 1.134021785 1.136753791 1.134052912 1.136441885 1.136633913 1.133376698 1.133213084 1.133213084 1.133679177 1.133679177 1.133365835
198450 1.139686578 1.039857474 1.039857474 0.099829104	1.039880422 1.134314436 1.134021785 1.136753791 1.134052912 1.136441885 1.136633913 1.133376698 1.133213084 1.133213084 1.133679177 1.133679177 1.133365835
220500 1.139686578 1.039857474 1.039857474 0.099829104	1.039880422 1.134261041 1.134021785 1.136700868 1.134052912 1.136441885 1.136633913 1.132719491 1.132047999 1.132047999 1.132363760 1.132363760 1.132234115
242550 1.139686578 1.039857474 1.039857474 0.099829104	1.039880422 1.132560741 1.131985538 1.130644980 1.132151694 1.130077104 1.130136821 1.124356715 1.118929634 1.118929634 1.126915944 1.126915944 1.118114056
264600 1.139686578 1.039857474 1.039857474 0.099829104	1.039880422 1.129499869 1.130785271 1.121036865 1.130676198 1.120504714 1.120348819 1.117199999 1.112484315 1.112484315 1.106915893 1.106915893 1.105543645
286650 1.139686578 1.039857474 1.039857474 0.099829104	1.039880422 1.129499869 1.130785271 1.121036865 1.130676198 1.120504714 1.120348819 1.116925236 1.111810228 1.111810228 1.106356414 1.106356414 1.105068935
308700 1.139686578 1.039857474 1.039857474 0.099829104	1.039880422 1.125448087 1.124628237 1.117596944 1.124475775 1.116708525 1.116524756 1.104860191 1.098478244 1.098478244 1.095105400 1.095105400 1.092982249
330750 1.139686578 1.039857474 1.039857474 0.099829104	1.039880422 1.081220596 1.083182389 1.078862644 1.082775343 1.077188943 1.080571498 1.056991786 1.049779600 1.049779600 1.052034603 1.052034603 1.046466360
176400 1.103018111 0.999876251 0.999876251 0.103141860	0.999900982 1.096885415 1.096883968 1.098751420 1.096825145 1.099361324 1.099795986 1.095794226 1.095752248 1.095752248 1.096220906 1.096220906 1.095849628
198450 1.103018111 0.999876251 0.999876251 0.103141860	0.999900982 1.096885415 1.096883968 1.098751420 1.096825145 1.099361324 1.099795986 1.095794226 1.095752248 1.095752248 1.096220906 1.096220906 1.095849628
220500 1.103018111 0.999876251 0.999876251 0.103141860	0.999900982 1.096833021 1.096883968 1.098706417 1.096825145 1.098996219 1.099582863 1.093827442 1.093395600 1.093395600 1.095313901 1.095313901 1.092749712
242550 1.103018111 0.999876251 0.999876251 0.103141860	0.999900982 1.095563015 1.095123089 1.092733132 1.095893476 1.093763281 1.092482336 1.082424046 1.080418572 1.080418572 1.088091469 1.088091469 1.078006850
264600 1.103018111 0.999876251 0.999876251 0.103141860	0.999900982 1.091634032 1.093319021 1.082291931 1.094029860 1.081730277 1.080517448 1.077249962 1.072583953 1.072583953 1.066557075 1.066557075 1.068122342
286650 1.103018111 0.999876251 0.999876251 0.103141860	0.999900982 1.091634032 1.093007590 1.082291931 1.093718429 1.081575684 1.080412072 1.075857193 1.071214242 1.071214242 1.065154874 1.065154874 1.066622952
308700 1.103018111 0.999876251 0.999876251 0.103141860	0.999900982 1.083740261 1.083522708 1.075053318 1.084283657 1.075771004 1.074803560 1.060178613 1.054436290 1.054436290 1.050646775 1.050646775 1.049865560
330750 1.103018111 0.999876251 0.999876251 0.103141860	0.999900982 1.039853089 1.043230994 1.038867830 1.043300341 1.036660912 1.035947800 1.015852013 1.006326124 1.006326124 1.010744360 1.010744360 1.006608450
176400 1.135428515 1.034249867 1.034249867 0.101178648	1.034276450 1.129511098 1.129294509 1.131960107 1.129248966 1.131802902 1.131892249 1.128237871 1.128342446 1.128342446 1.128236938 1.128236938 1.128080477
198450 1.135428515 1.034249867 1.034249867 0.101178648	1.034276450 1.129511098 1.129294509 1.131960107 1.129248966 1.131802902 1.131892249 1.128237871 1.128342446 1.128342446 1.128236938 1.128236938 1.128080477
220500 1.135428515 1.034249867 1.034249867 0.101178648	1.034276450 1.129511098 1.129294509 1.131873465 1.129248966 1.131656159 1.131791096 1.126100481 1.126150014 1.126150014 1.127994507 1.127994507 1.124975471
242550 1.135428515 1.034249867 1.034249867 0.101178648	1.034276450 1.126047754 1.128147667 1.125653253 1.126714513 1.123196940 1.123596321 1.114146113 1.110512923 1.110512923 1.120289311 1.120289311 1.110312535
264600 1.135428515 1.034249867 1.034249867 0.101178648	1.034276450 1.122884311 1.126213436 1.117458354 1.124390637 1.115191349 1.114724307 1.109161710 1.105977386 1.105977386 1.101198159 1.101198159 1.101660721
286650 1.135428515 1.034249867 1.034249867 0.101178648	1.034276450 1.122724823 1.125902891 1.117458354 1.124080092 1.115191349 1.114724307 1.107431727 1.104026160 1.104026160 1.099810474 1.099810474 1.099911238
308700 1.135428515 1.034249867 1.034249867 0.101178648	1.034276450 1.115684483 1.116113548 1.112391421 1.114382894 1.109345121 1.108930728 1.094226910 1.088826466 1.088826466 1.086998551 1.086998551 1.085467254
330750 1.135428515 1.034249867 1.034249867 0.101178648	1.034276450 1.070856653 1.078421453 1.071578073 1.076281857 1.071660291 1.071294505 1.048732252 1.041050292 1.041050292 1.044954863 1.044954863 1.040179007
176400 1.065476874 0.964409973 0.964409973 0.101066901	0.964432381 1.059996469 1.059756050 1.062959322 1.059622049 1.061978129 1.062373854 1.058812501 1.058940521 1.058940521 1.058593164 1.058593164 1.058756098
198450 1.065476874 0.964409973 0.964409973 0.101066901	0.964432381 1.059996469 1.059756050 1.062959322 1.059622049 1.061978129 1.062373854 1.058812501 1.058940521 1.058940521 1.058593164 1.058593164 1.058756098
220500 1.065476874 0.964409973 0.964409973 0.101066901	0.964432381 1.059983802 1.059756050 1.062341214 1.059622049 1.061825983 1.062337770 1.057213472 1.057604857 1.057604857 1.058285080 1.058285080 1.056877630
242550 1.065476874 0.964409973 0.964409973 0.101066901	0.964432381 1.057957474 1.058822867 1.056693059 1.058875144 1.057564662 1.056402669 1.046385404 1.042901169 1.042901169 1.052721935 1.052721935 1.042724595
264600 1.065476874 0.964409973 0.964409973 0.101066901	0.964432381 1.053782606 1.057251752 1.044410159 1.055413090 1.044032004 1.044782757 1.041211110 1.034674554 1.034674554 1.032505259 1.032505259 1.033118573
286650 1.065476874 0.964409973 0.964409973 0.101066901	0.964432381 1.053782606 1.056929774 1.044410159 1.055091112 1.044032004 1.044782757 1.040543705 1.033855753 1.033855753 1.031539668 1.031539668 1.032152982
308700 1.065476874 0.964409973 0.964409973 0.101066901	0.964432381 1.049062570 1.052269851 1.041432087 1.050084930 1.040107703 1.040389077 1.028963794 1.023441815 1.023441815 1.021155684 1.021155684 1.020454645
330750 1.065476874 0.964409973 0.964409973 0.101066901	0.964432381 1.008900939 1.012442487 1.007696731 1.009512409 1.005437821 1.005766942 0.985392492 0.975730990 0.975730990 0.979781442 0.979781442 0.974974268
176400 1.067870227 0.963076594 0.963076594 0.104793633	0.963101511 1.061394965 1.061694199 1.064018863 1.061632999 1.064743370 1.064948407 1.060390023 1.060133451 1.060133451 1.061045904 1.061045904 1.060742613
198450 1.067870227 0.963076594 0.963076594 0.104793633	0.963101511 1.061394965 1.061694199 1.064018863 1.061632999 1.064743370 1.064948407 1.060390023 1.060133451 1.060133451 1.061045904 1.061045904 1.060742613
220500 1.067870227 0.963076594 0.963076594 0.104793633	0.963101511 1.061364027 1.061602245 1.063759961 1.061541045 1.063924054 1.064508155 1.057989822 1.057968714 1.057968714 1.060721656 1.060721656 1.057875094
242550 1.067870227 0.963076594 0.963076594 0.104793633	0.963101511 1.059066799 1.060578761 1.056633045 1.060676163 1.055970433 1.056880872 1.045338820 1.042321410 1.042321410 1.052540228 1.052540228 1.039618699
264600 1.067870227 0.963076594 0.963076594 0.104793633	0.963101511 1.055616977 1.058487155 1.047491931 1.058406835 1.045555634 1.045547055 1.042028429 1.037480381 1.037480381 1.029909540 1.029909540 1.030727282
286650 1.067870227 0.963076594 0.963076594 0.104793633	0.963101511 1.055616977 1.058333325 1.047491931 1.058406835 1.045555634 1.045547055 1.041458271 1.036962726 1.036962726 1.029438697 1.029438697 1.030157124
308700 1.067870227 0.963076594 0.963076594 0.104793633	0.963101511 1.046838057 1.048947440 1.041595860 1.049096339 1.039372927 1.039796836 1.024448000 1.018149328 1.018149328 1.014086529 1.014086529 1.012377924
330750 1.067870227 0.963076594 0.963076594 0.104793633	0.963101511 1.001119080 1.004101926 1.000984147 1.003152717 1.000396525 1.000223087 0.979395797 0.970244173 0.970244173 0.972100145 0.972100145 0.969551530
176400 1.076489533 1.001724659 1.001724659 0.074764874	1.001751662 1.071256759 1.070936522 1.072843845 1.071107758 1.073208929 1.071727262 1.070406486 1.070176558 1.070176558 1.070446945 1.070446945 1.070021459
