capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
1255 3401.169982585 2631.160838986 2631.160838986 770.009143599	2631.160850742 3196.870650434 3032.022036935 3056.951110918 3008.872916314 2991.657701873 2976.478482621 2913.920491653 2841.871965822 2841.871965822 2715.283320643 2715.283320643 2944.559251000
1344 3401.169982585 2631.160838986 2631.160838986 770.009143599	2631.160850742 3186.236916520 2951.111420531 2981.174535975 2991.502466006 2943.375896579 2882.680657528 2704.243452914 2798.762302399 2798.762302399 2735.643904203 2735.643904203 2912.293611064
1433 3401.169982585 2631.160838986 2631.160838986 770.009143599	2631.160850742 3160.455012140 2867.707743915 2940.417713643 2916.731699320 2869.549059369 2823.349525389 2635.018413420 2767.528888673 2767.528888673 2689.943646139 2689.943646139 2879.407162188
1522 3401.169982585 2631.160838986 2631.160838986 770.009143599	2631.160850742 3129.971037731 2855.514943675 2907.346668461 2849.616440617 2831.253890273 2812.298110182 2653.066258455 2784.820889171 2784.820889171 2699.461352529 2699.461352529 2870.149360135
1611 3401.169982585 2631.160838986 2631.160838986 770.009143599	2631.160850742 3115.984287397 2813.997381246 2846.548042730 2838.447051376 2814.079802881 2790.162418113 2633.596235653 2770.597556302 2770.597556302 2674.465919005 2674.465919005 2787.755664696
1700 3401.169982585 2631.160838986 2631.160838986 770.009143599	2631.160850742 3004.683520569 2803.340324652 2835.595752325 2820.997702616 2764.760564441 2724.128539902 2633.396086249 2726.089203319 2726.089203319 2668.317395790 2668.317395790 2773.388543353
899 2232.119383753 1910.907138328 1910.907138328 321.212245425	1910.907149598 2111.011438484 2051.472489829 2082.545818457 2089.008789816 2083.129655118 2069.237514235 2075.289080488 2124.955330437 2124.955330437 2091.997058633 2091.997058633 2048.032745498
988 2232.119383753 1910.907138328 1910.907138328 321.212245425	1910.907149598 2101.310779346 2044.815114855 2068.320297587 2081.645045512 2051.213261061 2056.766287239 2040.467581876 2132.056592142 2132.056592142 1961.525830803 1961.525830803 2039.720561780
1077 2232.119383753 1910.907138328 1910.907138328 321.212245425	1910.907149598 2098.428269347 1988.908384275 2056.607746481 2038.290492534 2009.184464960 2014.478200375 2054.310120601 2123.978227215 2123.978227215 1947.848165018 1947.848165018 2014.306160377
1166 2232.119383753 1910.907138328 1910.907138328 321.212245425	1910.907149598 2061.689892395 1982.219298877 2012.720830138 2031.754499872 1999.309852046 1997.340032392 2019.724061138 2029.366207153 2029.366207153 1926.631886111 1926.631886111 1989.243900310
