#Capacity Gilmore_Gomory_makespan
899 642.596785439
988 642.347420933
1077 611.153023693
1166 596.472462895
1255 574.763874150
1344 537.710397340
1433 537.381782689
1522 521.337341856
1611 470.418324151
1700 470.372799404
899 1282.901845905
988 1263.115910303
1077 1202.455048363
1166 1090.858198303
1255 1030.547404183
1344 944.941212384
1433 878.592513511
1522 838.628944992
1611 832.213050385
1700 832.209862724
899 1176.845620622
988 1176.564024368
1077 1175.855162180
1166 1140.193789090
1255 1044.560129583
1344 1044.508917549
1433 1003.148569989
1522 899.549347168
1611 889.866967477
1700 889.863712935
899 939.094164525
988 878.144019093
1077 878.143580142
1166 861.088316398
1255 833.870959198
1344 705.796390984
1433 694.756204457
1522 633.749416273
1611 633.749119159
1700 633.475782503
899 1284.263496283
988 1222.593819825
1077 1221.927589539
1166 1203.386496616
1255 1049.112172199
1344 1023.681727939
1433 1023.598698570
1522 993.009238322
1611 931.711832634
1700 908.006423379
899 913.033281439
988 820.850679170
1077 751.357119191
1166 696.895150313
1255 669.306530793
1344 669.170106917
1433 668.789499744
1522 630.808968536
1611 630.808071969
1700 621.501852946
899 655.243841157
988 619.499667128
1077 574.100578220
1166 546.764685034
1255 486.193921713
1344 474.858660374
1433 469.378660885
1522 468.915837640
1611 468.915515754
1700 468.914422825
899 850.625866009
988 774.920462164
1077 748.521183146
1166 748.018665210
1255 748.017220285
1344 744.210960677
1433 670.983806637
1522 670.983635159
1611 632.401848235
1700 627.283295486
899 851.197575343
988 823.657459496
1077 803.030507362
1166 750.385956166
1255 745.684270402
1344 737.344423474
1433 736.949871734
1522 676.322967129
1611 669.609649551
1700 613.777596943
899 947.833142560
988 853.230712790
1077 852.837653090
1166 787.854260856
1255 761.772887382
1344 726.046648722
1433 724.638765313
1522 709.261549260
1611 708.869647064
1700 707.597226191
899 224.850280550
988 224.616558807
1077 223.738361608
1166 223.515265459
1255 223.403038533
1344 223.402795532
1433 182.509914486
1522 182.508557257
1611 182.508386932
1700 163.535957894
899 239.193629477
988 238.917724281
1077 238.917378745
1166 231.013990554
1255 230.985482453
1344 229.753248998
1433 229.186913213
1522 225.355496387
1611 225.355398049
1700 218.812642298
899 856.417360653
988 812.538663901
1077 810.617484959
1166 746.176454847
1255 686.343902707
1344 669.557716844
1433 669.276276744
1522 669.275961519
1611 668.907355482
1700 650.348484709
899 1497.915027807
988 1272.165917044
1077 1161.701977039
1166 1064.721582409
1255 1040.800849099
1344 958.131470783
1433 957.992988589
1522 890.322895633
1611 890.066210562
1700 890.037302846
899 500.679802236
988 500.677124033
1077 456.541009883
1166 456.539729850
1255 379.881123012
1344 379.880885105
1433 379.880450426
1522 365.258858467
1611 365.258858467
1700 364.379113176
899 866.365903628
988 866.265440067
1077 838.488943198
1166 787.940982625
1255 745.056054005
1344 709.478883098
1433 709.298182534
1522 706.976955507
1611 636.267941045
1700 636.041348794
899 780.410933899
988 780.269887041
1077 729.082697149
1166 729.078473204
1255 682.343049723
1344 627.722352752
1433 592.054834077
1522 503.750004113
1611 476.757412263
1700 471.567556247
899 1081.251255137
988 1054.462827231
1077 998.493170090
1166 891.501153615
1255 807.065808864
1344 740.149181442
1433 732.586252314
1522 692.570864796
1611 639.433894569
1700 639.126622682
899 962.501228130
988 888.602608328
1077 816.301111391
1166 800.471037879
1255 800.215345371
1344 767.231355981
1433 767.230656496
1522 760.974720913
1611 755.812875714
1700 755.812827909
899 650.683425013
988 620.014736174
1077 620.010481915
1166 575.917150414
1255 575.914501839
1344 545.184341118
1433 545.182650690
1522 545.182525386
1611 526.828694005
1700 436.007981401
899 1309.280937868
988 1248.506971045
1077 1107.619588772
1166 1069.552433451
1255 1051.852722098
1344 958.598179312
1433 958.441017290
1522 958.441017290
1611 926.018174726
1700 891.813840581
899 1022.334186754
988 1022.330620627
1077 902.580441520
1166 873.949148128
1255 873.948755255
1344 816.063703140
1433 816.063516985
1522 794.433055237
1611 706.934269898
1700 662.957984413
899 918.622570121
988 873.204326316
1077 845.270553607
1166 767.670012614
1255 733.581471531
1344 733.580078870
1433 733.580041261
1522 733.579968645
1611 652.359733526
1700 652.136682032
899 209.026886864
988 154.436733262
1077 154.432658799
1166 154.432492099
1255 153.474368144
1344 152.578738653
1433 145.487779887
1522 145.487702178
1611 145.487004216
1700 145.486997897
899 1217.061769375
988 1211.483334946
1077 1114.787981041
1166 1067.147461802
1255 1044.262414694
1344 1037.904204847
1433 1028.004283228
1522 968.829350391
1611 820.942996910
1700 820.940051206
899 1177.567730411
988 1119.965301130
1077 1119.964581805
1166 1033.780446463
1255 1032.717138848
1344 803.128164861
1433 802.855297066
1522 800.564652009
1611 800.563587802
1700 793.498012066
899 523.557675665
988 523.229239617
1077 492.171388245
1166 491.830560432
1255 489.123948041
1344 488.442347785
1433 475.689605169
1522 474.258228153
1611 474.257969104
1700 474.257723468
899 248.887041972
988 248.533719364
1077 248.345178184
1166 247.906651220
1255 247.905825697
1344 247.893762813
1433 247.521228810
1522 247.457892877
1611 247.457500991
1700 247.457064884
899 1777.487215692
988 1760.513047410
1077 1570.037084556
1166 1534.413418629
1255 1527.138367718
1344 1436.881655988
1433 1354.132210239
1522 1317.037730053
1611 1301.567437901
1700 1285.917711335
899 1087.813550140
988 1064.606376090
1077 1014.427154376
1166 955.160509213
1255 903.602257380
1344 899.105143627
1433 865.135300771
1522 864.976271662
1611 825.189021211
1700 825.188812904
899 451.092920683
988 432.311482185
1077 401.525244451
1166 401.057734380
1255 354.595280763
1344 348.389351327
1433 348.388634614
1522 348.388302256
1611 348.387842594
1700 348.040624120
899 887.912501729
988 874.654876351
1077 818.127031757
1166 817.144168344
1255 799.894961281
1344 798.898733747
1433 798.898027593
1522 790.361886371
1611 790.361238347
1700 788.807836706
899 834.863126661
988 772.488137804
1077 772.031993883
1166 744.702731982
1255 739.132779989
1344 718.682227668
1433 718.540174088
1522 718.539831247
1611 718.539274348
1700 718.192017301
899 1038.514158630
988 1007.638806366
1077 1007.326261817
1166 1006.635823264
1255 946.034311937
1344 863.598114060
1433 791.618882006
1522 790.591909250
1611 774.726477975
1700 774.725054488
899 1064.074344947
988 955.454356021
1077 955.453397459
1166 851.284703945
1255 851.283861119
1344 784.087840003
1433 778.537716897
1522 717.053209723
1611 717.052011883
1700 716.170962849
899 1027.124397055
988 1001.924706260
1077 924.970059765
1166 911.938725387
1255 797.788133900
1344 781.764879493
1433 720.758974428
1522 720.167933189
1611 716.002179479
1700 715.998412077
899 918.399956843
988 917.593823818
1077 803.373766508
1166 753.329656586
1255 738.683519204
1344 685.151946972
1433 665.626215579
1522 665.625026284
1611 665.622452345
1700 665.622150167
899 1504.881780797
988 1423.102382495
1077 1335.516082503
1166 1213.635629699
1255 1133.104617235
1344 999.359469497
1433 999.359173358
1522 996.501788422
1611 996.501413499
1700 992.512403320
899 817.541299244
988 787.826083861
1077 787.765244147
1166 696.185773348
1255 695.481817043
1344 587.588595517
1433 557.806989840
1522 557.806473851
1611 556.903269228
1700 556.757186870
899 1382.921564668
988 1345.247452167
1077 1247.475313014
1166 1188.377702948
1255 1186.902063852
1344 1178.034092032
1433 1151.312052724
1522 1122.558605206
1611 1121.916987077
1700 1121.915886655
899 766.999123337
988 740.680377998
1077 740.355256975
1166 720.552673044
1255 658.293763913
1344 555.509710827
1433 555.319157701
1522 554.998817927
1611 554.806748918
1700 552.642503432
899 890.356912124
988 835.313785355
1077 777.507323764
1166 763.490349180
1255 701.534195162
1344 645.740586283
1433 643.939435684
1522 643.533269451
1611 643.278707559
1700 634.557277465
899 294.539786770
988 294.539480001
1077 294.539119577
1166 275.025916516
1255 225.971546213
1344 225.970149747
1433 225.967425849
1522 222.678704443
1611 222.678704443
1700 222.678622186
899 1112.323732328
988 1064.862175044
1077 961.863962858
1166 889.614155659
1255 870.478161430
1344 827.866808251
1433 827.832721594
1522 782.881338380
1611 767.935068128
1700 754.201796998
899 966.012048068
988 965.857808147
1077 964.580644287
1166 912.966733858
1255 883.693816719
1344 802.186184221
1433 802.185976290
1522 798.527093665
1611 762.959555960
1700 762.959539998
899 682.975048902
988 682.834508657
1077 682.281193408
1166 680.541311567
1255 590.071129019
1344 590.041217916
1433 590.038267555
1522 589.135178138
1611 533.608088548
1700 533.607621175
899 732.557974038
988 640.857544985
1077 623.183997015
1166 623.044183045
1255 583.455677794
1344 572.907085678
1433 496.555062151
1522 496.554622058
1611 496.554517332
1700 496.554472310
899 229.566580646
988 229.564859170
1077 229.332127275
1166 229.155295942
1255 228.964856928
1344 217.365330834
1433 212.264608559
1522 212.264170948
1611 212.263410658
1700 212.263199495
899 429.358949721
988 402.864649400
1077 402.625195764
1166 402.624674366
1255 402.623588463
1344 402.623134085
1433 402.058366405
1522 401.531306750
1611 401.531137743
1700 399.551875437
899 1116.347502809
988 1032.329963579
1077 912.641656315
1166 890.894578133
1255 889.886787572
1344 885.339231395
1433 854.386846924
1522 763.048491707
1611 761.170637722
1700 745.650292613
899 50.373611819
988 50.373495835
1077 50.371415232
1166 50.371054018
1255 50.228386208
1344 50.002575807
1433 50.002433584
1522 50.002383979
1611 50.002312106
1700 49.843833485
899 1116.825068588
988 1116.824820792
1077 996.402415487
1166 977.371188703
1255 916.680063443
1344 860.115081567
1433 860.114918695
1522 798.824541025
1611 798.824541025
1700 737.702699916
899 507.523826104
988 494.318258440
1077 433.748984429
1166 433.529946714
1255 433.529671130
1344 427.027818147
1433 426.883692489
1522 426.883573273
1611 383.582242723
1700 383.396639450
899 914.266582384
988 883.724663002
1077 822.984527910
1166 764.889712212
1255 763.871227655
1344 729.957215968
1433 716.713510898
1522 716.385851944
1611 715.990639528
1700 678.349697083
899 1166.197047387
988 1155.525890484
1077 1101.625635646
1166 1036.699204690
1255 969.738255218
1344 909.821642497
1433 894.309902667
1522 894.237995738
1611 886.673069207
1700 826.806975458
899 1399.613864860
988 1245.497112918
1077 1124.400135939
1166 1062.163246184
1255 1029.897744251
1344 1029.751272229
1433 1029.747887050
1522 1029.564450737
1611 1029.053178863
1700 1028.999610381
899 1673.837022000
988 1555.335802868
1077 1430.220227772
1166 1361.174035697
1255 1318.465867770
1344 1318.464669374
1433 1314.770574520
1522 1313.126093524
1611 1312.978145158
1700 1308.690696555
899 1028.579275807
988 920.876734755
1077 806.318751496
1166 806.317243492
1255 792.347500845
1344 792.346720943
1433 724.313179264
1522 724.312691060
1611 724.312182792
1700 724.312012966
899 1087.967631947
988 1086.449056128
1077 1011.604808869
1166 966.701590760
1255 961.214329644
1344 930.948375160
1433 870.577687879
1522 811.157179339
1611 797.070705906
1700 797.070489611
899 2110.790969565
988 1989.137148469
1077 1872.164781062
1166 1650.636289637
1255 1611.199052294
1344 1540.973712834
1433 1469.284130424
1522 1435.203221121
1611 1403.848862305
1700 1370.415862681
899 234.504706908
988 234.503841457
1077 203.790369976
1166 203.742616776
1255 203.509010272
1344 202.136301786
1433 202.090243479
1522 202.090027161
1611 202.089670871
1700 202.089461427
899 351.258324660
988 331.397680110
1077 331.397105707
1166 330.884310503
1255 330.701829541
1344 322.886338603
1433 322.886057115
1522 322.701942291
1611 311.756240973
1700 311.523605851
899 1643.403031190
988 1523.071385089
1077 1487.882706866
1166 1443.796222120
1255 1336.885728133
1344 1239.385757767
1433 1184.519672475
1522 1152.430893828
1611 1133.326542444
1700 1103.053204127
899 543.391228141
988 521.391193019
1077 453.789232854
1166 453.785495468
1255 422.009288019
1344 404.917501701
1433 404.725766690
1522 404.724005869
1611 404.722497520
1700 402.642642487
899 1798.934573813
988 1749.661863268
1077 1686.713765158
1166 1509.191403991
1255 1461.475813799
1344 1300.049169253
1433 1188.647658740
1522 1188.599845388
1611 1178.418845432
1700 1178.418591735
899 1160.038221741
988 1129.333830252
1077 1109.999138198
1166 1090.989476547
1255 1071.938148541
1344 946.046939161
1433 886.946739855
1522 880.077692335
1611 879.899229742
1700 879.898969289
899 1274.220014606
988 1246.236181856
1077 1245.917782509
1166 1194.984867124
1255 1106.122240729
1344 1007.799587542
1433 1007.799312908
1522 948.948368928
1611 948.818591442
1700 896.389526143
899 803.164852808
988 743.621006594
1077 596.459910179
1166 535.761015279
1255 535.760021669
1344 534.728122642
1433 530.746285419
1522 530.571689386
1611 530.569431071
1700 530.569424356
899 1677.622415173
988 1611.390194126
