capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	OMIM OS OOSIM IOCMS DOCPS IOCCS DOCCS LCMR SCMR MAMR OOLCMR OOSCMR OOMAMR
2295055360 4281.440875539 3281.296731670 3281.296731670 1000.144143869	3281.296777079 3517.940268134 3531.375907282 3554.479945274 3541.326363004 3663.872697419 3510.773029746 3404.091969893 3530.838638857 3530.838638857 3351.751005676 3351.751005676 3423.214043906
2524560896 4281.440875539 3281.296731670 3281.296731670 1000.144143869	3281.296777079 3462.626675235 3517.268021584 3537.723930397 3489.473282747 3663.265092629 3481.635139632 3400.900678893 3538.422763910 3538.422763910 3334.101642059 3334.101642059 3407.387944090
2754066432 4281.440875539 3281.296731670 3281.296731670 1000.144143869	3281.296777079 3406.041016808 3428.314564626 3492.522701522 3467.914515493 3586.270701951 3392.040942215 3342.034136510 3468.236187028 3468.236187028 3377.877424352 3377.877424352 3376.634378638
2983571968 4281.440875539 3281.296731670 3281.296731670 1000.144143869	3281.296777079 3406.041016808 3394.765711828 3485.115326812 3459.765494718 3584.560923614 3392.040942215 3342.034136510 3443.217403142 3443.217403142 3353.095796495 3353.095796495 3366.853033380
3213077504 4281.440875539 3281.296731670 3281.296731670 1000.144143869	3281.296777079 3391.985868394 3394.765711828 3469.527513881 3447.821136732 3581.117400484 3391.665343265 3342.034136510 3442.189005088 3442.189005088 3346.548945179 3346.548945179 3364.575019409
3442583040 4281.440875539 3281.296731670 3281.296731670 1000.144143869	3281.296777079 3383.597609411 3391.773207833 3469.527513881 3407.592014293 3527.441018158 3358.368440278 3342.034136510 3424.345391698 3424.345391698 3373.735713107 3373.735713107 3373.810502819
3672088576 4281.440875539 3281.296731670 3281.296731670 1000.144143869	3281.296777079 3383.597609411 3357.952930067 3461.643329307 3395.948695827 3516.916004592 3358.368440278 3342.034136510 3441.228093419 3441.228093419 3357.808245846 3357.808245846 3357.808245846
1836044288 3003.812498029 2220.367390496 2220.367390496 783.445107533	2220.372339309 2526.739652165 2599.911836719 2590.023663203 2570.091623018 2602.871954782 2560.878160190 2487.133633309 2563.493728084 2563.493728084 2550.199706235 2550.199706235 2570.941317413
2065549824 3003.812498029 2220.367390496 2220.367390496 783.445107533	2220.372339309 2511.018500230 2593.176288764 2563.346380891 2550.037077622 2602.525350149 2520.038120310 2441.506660436 2511.143716487 2511.143716487 2378.626914187 2378.626914187 2458.792336307
2295055360 3003.812498029 2220.367390496 2220.367390496 783.445107533	2220.372339309 2491.273744534 2571.185867375 2556.528026027 2536.499516857 2598.768131119 2473.090728961 2402.010238014 2486.849778062 2486.849778062 2345.195003515 2345.195003515 2423.199579821
2524560896 3003.812498029 2220.367390496 2220.367390496 783.445107533	2220.372339309 2435.377720973 2562.241091844 2513.577228705 2493.144042252 2590.738962875 2463.614090975 2389.830576312 2461.320344862 2461.320344862 2272.711418808 2272.711418808 2395.831954113
2754066432 3003.812498029 2220.367390496 2220.367390496 783.445107533	2220.372339309 2371.140256330 2392.488264381 2378.247229689 2396.255768074 2419.467659347 2309.798412698 2271.258531446 2406.513622712 2406.513622712 2280.478511617 2280.478511617 2329.838747740
2983571968 3003.812498029 2220.367390496 2220.367390496 783.445107533	2220.372339309 2349.826034667 2376.092447061 2378.247229689 2371.914143739 2404.786430697 2291.088170316 2271.258531446 2380.907296795 2380.907296795 2239.574163511 2239.574163511 2290.297805723
3213077504 3003.812498029 2220.367390496 2220.367390496 783.445107533	2220.372339309 2304.405605830 2361.341616017 2334.266954435 2366.110115233 2403.586321604 2278.756377401 2271.258531446 2311.959932372 2311.959932372 2240.291852375 2240.291852375 2294.010708668
3442583040 3003.812498029 2220.367390496 2220.367390496 783.445107533	2220.372339309 2304.405605830 2302.367880384 2306.421437042 2337.741965797 2361.890962392 2269.182922873 2220.750026048 2297.267201613 2297.267201613 2238.592532626 2238.592532626 2285.684050208
3672088576 3003.812498029 2220.367390496 2220.367390496 783.445107533	2220.372339309 2292.173869015 2268.894289302 2288.657283527 2315.280190370 2345.560174684 2221.571519341 2220.750026048 2295.167744327 2295.167744327 2242.746145587 2242.746145587 2248.091430946
1836044288 2950.249614211 2438.646084294 2438.646084294 511.603529917	2438.646173457 2618.484823180 2652.429279752 2650.266438730 2615.997821115 2671.429917493 2626.189107247 2556.700433865 2644.238086249 2644.238086249 2584.440118902 2584.440118902 2620.925805580
2065549824 2950.249614211 2438.646084294 2438.646084294 511.603529917	2438.646173457 2568.715109754 2652.034324327 2649.985532621 2598.324727549 2671.140933380 2625.970588012 2498.876370717 2607.871096958 2607.871096958 2492.695272750 2492.695272750 2585.642652019
2295055360 2950.249614211 2438.646084294 2438.646084294 511.603529917	2438.646173457 2565.019887603 2623.937295338 2649.534270910 2581.307840830 2669.232318790 2570.738260538 2468.509831425 2611.013188351 2611.013188351 2463.729676200 2463.729676200 2556.650292625
2524560896 2950.249614211 2438.646084294 2438.646084294 511.603529917	2438.646173457 2557.110397523 2588.631644395 2618.136597994 2560.647361725 2668.828814217 2511.437808975 2456.553382413 2564.632601879 2564.632601879 2507.068390320 2507.068390320 2536.475767921
2754066432 2950.249614211 2438.646084294 2438.646084294 511.603529917	2438.646173457 2518.939880576 2560.674899179 2615.887919251 2539.158793916 2667.284705496 2511.435419702 2439.373356652 2608.918790242 2608.918790242 2469.416264716 2469.416264716 2545.354259755
2983571968 2950.249614211 2438.646084294 2438.646084294 511.603529917	2438.646173457 2515.649004044 2528.838811535 2607.607483772 2535.986306869 2659.004270017 2511.435419702 2439.061378623 2600.091435829 2600.091435829 2467.805978619 2467.805978619 2520.488073386
3213077504 2950.249614211 2438.646084294 2438.646084294 511.603529917	2438.646173457 2500.912998115 2518.819783184 2606.664983887 2516.566565093 2658.769522419 2471.570150000 2439.061378623 2591.263495244 2591.263495244 2456.841083279 2456.841083279 2502.931282142
3442583040 2950.249614211 2438.646084294 2438.646084294 511.603529917	2438.646173457 2468.967816426 2513.247880668 2598.641506365 2516.566565093 2652.034545330 2471.570150000 2439.061378623 2597.798313565 2597.798313565 2439.067146458 2439.067146458 2480.283146214
3672088576 2950.249614211 2438.646084294 2438.646084294 511.603529917	2438.646173457 2468.967816426 2509.321702739 2596.332674775 2495.406975125 2651.902498389 2471.570150000 2439.061378623 2583.999554946 2583.999554946 2438.646173457 2438.646173457 2475.181441090
1836044288 3414.396742274 2756.211472216 2756.211472216 658.185270058	2756.211538944 3065.864840233 3006.103069653 2933.428408320 2998.704858655 3052.483691516 2938.588853205 2843.359319120 2987.173138147 2987.173138147 2880.089671243 2880.089671243 2957.975329866
2065549824 3414.396742274 2756.211472216 2756.211472216 658.185270058	2756.211538944 3012.269975233 2984.929280031 2930.300910783 2982.061461591 3052.280373922 2933.055796174 2823.776074986 2962.966557920 2962.966557920 2862.069339813 2862.069339813 2939.957909987
2295055360 3414.396742274 2756.211472216 2756.211472216 658.185270058	2756.211538944 2972.743113599 2953.380591035 2918.298595686 2971.629214296 3052.156951332 2933.055796174 2795.915607002 2919.203684738 2919.203684738 2870.289464176 2870.289464176 2909.130368093
2524560896 3414.396742274 2756.211472216 2756.211472216 658.185270058	2756.211538944 2932.293647680 2953.175457955 2908.205761790 2966.150649418 3048.449604498 2886.087679644 2769.141813388 2940.908322932 2940.908322932 2805.715881229 2805.715881229 2890.785364159
2754066432 3414.396742274 2756.211472216 2756.211472216 658.185270058	2756.211538944 2932.293647680 2894.385147175 2864.025498553 2915.594115923 3010.792399434 2841.984543667 2768.919170948 2905.267531231 2905.267531231 2811.374842656 2811.374842656 2875.478709865
2983571968 3414.396742274 2756.211472216 2756.211472216 658.185270058	2756.211538944 2868.232545318 2894.321265560 2857.407788937 2915.594115923 3010.587859752 2835.181959704 2763.060045872 2887.830794533 2887.830794533 2788.445656222 2788.445656222 2851.868314848
3213077504 3414.396742274 2756.211472216 2756.211472216 658.185270058	2756.211538944 2837.302229138 2858.383372440 2850.721391271 2888.593291852 3010.382726672 2802.812603017 2776.285143606 2855.706795124 2855.706795124 2786.762440243 2786.762440243 2813.596405043
3442583040 3414.396742274 2756.211472216 2756.211472216 658.185270058	2756.211538944 2837.195244462 2856.645867699 2850.007159384 2888.593291852 3010.291358798 2802.812603017 2760.807634999 2878.187288873 2878.187288873 2764.940035163 2764.940035163 2810.257821496
3672088576 3414.396742274 2756.211472216 2756.211472216 658.185270058	2756.211538944 2793.590537125 2833.371898449 2840.104754035 2851.512415669 3009.882083330 2802.812603017 2761.543657275 2848.694265649 2848.694265649 2830.234505467 2830.234505467 2830.236923980
1836044288 2954.606362650 2607.697985021 2607.697985021 346.908377629	2607.698067364 2623.801341779 2655.615953219 2697.868167354 2646.661859899 2707.182952047 2609.338809298 2608.120077528 2693.187051317 2693.187051317 2619.594490743 2619.594490743 2645.473817018
2065549824 2954.606362650 2607.697985021 2607.697985021 346.908377629	2607.698067364 2608.566680871 2646.567597373 2690.626438970 2630.398960506 2706.721573789 2609.257549027 2608.093621569 2688.516263759 2688.516263759 2609.074114155 2609.074114155 2629.750093323
2295055360 2954.606362650 2607.697985021 2607.697985021 346.908377629	2607.698067364 2608.566680871 2611.046928913 2685.251406165 2624.823245386 2706.721573789 2608.995412411 2608.047689546 2693.651255724 2693.651255724 2607.782306997 2607.782306997 2607.698067364
2524560896 2954.606362650 2607.697985021 2607.697985021 346.908377629	2607.698067364 2608.112702450 2610.855550099 2682.547862744 2619.453550634 2687.356534764 2608.894050050 2608.047689546 2681.238927417 2681.238927417 2607.874409796 2607.874409796 2607.698067364
