capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp OMIM OS GG OOSIM IOCMS DOCPS IOCCS DOCCS LCMR SCMR MAMR OOLCMR OOSCMR OOMAMR  
1016 3414.396742274 2756.211472216 2756.211472216 658.185270058 2756.211483920 3235.894130092 3033.168646074 3115.194799988 3128.654955081 3126.852540848 3095.420244770 3126.060948743 3037.162128871 3280.505044676 3280.505044676 2952.046290804 2952.046290804 3112.534149777  
1128 3414.396742274 2756.211472216 2756.211472216 658.185270058 2756.211483920 3158.163423388 2988.187034868 3083.286970988 3066.802721694 3099.294772270 3056.028705891 3027.005268490 2962.937114765 3096.491687105 3096.491687105 2892.978473108 2892.978473108 3090.787023132  
1240 3414.396742274 2756.211472216 2756.211472216 658.185270058 2756.211483920 3128.748679924 2930.277965177 3054.781981186 2974.565006273 3068.653481832 3035.835458638 2926.128653857 2934.079274128 2918.478180377 2918.478180377 2912.953074671 2912.953074671 3049.593832474  
1352 3414.396742274 2756.211472216 2756.211472216 658.185270058 2756.211483920 3121.450943653 2896.039028877 3047.772462339 2962.953590128 3061.397618988 3034.682668231 2903.986570519 2788.776576415 2881.814326895 2881.814326895 2879.256800754 2879.256800754 3030.980756994  
1464 3414.396742274 2756.211472216 2756.211472216 658.185270058 2756.211483920 3098.215796366 2802.753143592 3019.268720546 2905.092960424 3048.948415693 3016.732181810 2886.028748008 2776.172365236 2873.952484144 2873.952484144 2839.383439853 2839.383439853 2993.607473111  
1576 3414.396742274 2756.211472216 2756.211472216 658.185270058 2756.211483920 3078.665013237 2800.422414515 2961.098957083 2902.974670422 2992.895832975 2947.048445512 2857.183247612 2775.596788223 2872.480660686 2872.480660686 2828.245839263 2828.245839263 2992.962419014  
1688 3414.396742274 2756.211472216 2756.211472216 658.185270058 2756.211483920 2988.686427813 2785.043347526 2946.702519802 2876.459802899 2969.787958974 2919.948027579 2825.081196788 2775.411026212 2842.075637276 2842.075637276 2788.290115641 2788.290115641 2966.777947566  
1800 3414.396742274 2756.211472216 2756.211472216 658.185270058 2756.211483920 2970.529007795 2780.170207361 2946.302606563 2876.108628959 2968.062954589 2919.752929159 2793.700953561 2774.587088245 2871.545119400 2871.545119400 2846.730705036 2846.730705036 2971.006895086  
904 2954.606362650 2607.697985021 2607.697985021 346.908377629 2607.697996830 2883.386708804 2798.829767179 2833.784701345 2858.524192946 2835.281872286 2783.523321405 2785.319938866 2788.999974253 2871.909947857 2871.909947857 2749.973057807 2749.973057807 2738.959040306  
1016 2954.606362650 2607.697985021 2607.697985021 346.908377629 2607.697996830 2867.798369801 2765.385358449 2787.699346197 2815.944107447 2799.217849943 2761.672360557 2741.851438630 2788.413451592 2887.939342952 2887.939342952 2639.603824979 2639.603824979 2743.641972986  
1128 2954.606362650 2607.697985021 2607.697985021 346.908377629 2607.697996830 2823.895696807 2699.975729930 2719.272325450 2754.615654428 2777.302260402 2745.888077559 2727.227821444 2710.790877371 2750.384870856 2750.384870856 2664.545957415 2664.545957415 2724.347204577  
1240 2954.606362650 2607.697985021 2607.697985021 346.908377629 2607.697996830 2770.169837296 2691.939461931 2691.670909986 2730.455868339 2768.179452295 2736.744721247 2702.114981834 2690.335571488 2698.076608260 2698.076608260 2639.177311488 2639.177311488 2706.987630822  
1352 2954.606362650 2607.697985021 2607.697985021 346.908377629 2607.697996830 2720.814634061 2671.602288738 2687.507007755 2708.086725924 2727.307999626 2721.259605446 2691.298167117 2646.458387550 2696.172205229 2696.172205229 2628.314266792 2628.314266792 2699.933862568  
1464 2954.606362650 2607.697985021 2607.697985021 346.908377629 2607.697996830 2713.971434028 2646.785985621 2669.066177518 2690.401729592 2703.814081920 2719.001973922 2659.265824903 2642.877881499 2695.002358919 2695.002358919 2619.306010313 2619.306010313 2704.116287202  
